time x y z x_d y_d z_d 
0 0.306932 -2.4126e-05 0.486765 0.306932 -2.38081e-05 0.486768 
0.001 0.306932 -2.48282e-05 0.486766 0.306932 -2.38081e-05 0.486768 
0.002 0.306933 -2.41362e-05 0.486767 0.306932 -2.38081e-05 0.486768 
0.003 0.306932 -2.40059e-05 0.486767 0.306932 -2.38081e-05 0.486768 
0.004 0.306931 -2.31609e-05 0.486765 0.306932 -2.38081e-05 0.486768 
0.005 0.306932 -2.36907e-05 0.486765 0.306932 -2.38081e-05 0.486768 
0.006 0.306932 -2.33459e-05 0.486765 0.306932 -2.38081e-05 0.486768 
0.007 0.306933 -2.26061e-05 0.486764 0.306932 -2.38081e-05 0.486768 
0.008 0.306933 -2.47763e-05 0.486762 0.306932 -2.38081e-05 0.486768 
0.009 0.306934 -2.65438e-05 0.486761 0.306932 -2.38081e-05 0.486768 
0.01 0.306934 -2.53508e-05 0.486761 0.306932 -2.38081e-05 0.486768 
0.011 0.306934 -2.44748e-05 0.486759 0.306932 -2.38081e-05 0.486768 
0.012 0.306933 -2.47317e-05 0.486761 0.306932 -2.38081e-05 0.486768 
0.013 0.306934 -2.47323e-05 0.486761 0.306932 -2.38081e-05 0.486768 
0.014 0.306934 -2.3488e-05 0.486757 0.306932 -2.38081e-05 0.486768 
0.015 0.306934 -2.50736e-05 0.486759 0.306932 -2.38081e-05 0.486768 
0.016 0.306932 -2.23055e-05 0.486756 0.306932 -2.38081e-05 0.486768 
0.017 0.306933 -2.42128e-05 0.486755 0.306932 -2.38081e-05 0.486768 
0.018 0.306933 -2.54844e-05 0.486755 0.306932 -2.38081e-05 0.486768 
0.019 0.306932 -2.54222e-05 0.486754 0.306932 -2.38081e-05 0.486768 
0.02 0.306934 -2.68078e-05 0.486756 0.306932 -2.38081e-05 0.486768 
0.021 0.306933 -2.52236e-05 0.486749 0.306932 -2.38081e-05 0.486768 
0.022 0.306933 -2.54033e-05 0.486753 0.306932 -2.38081e-05 0.486768 
0.023 0.306933 -2.36221e-05 0.486751 0.306932 -2.38081e-05 0.486768 
0.024 0.306934 -2.41565e-05 0.486751 0.306932 -2.38081e-05 0.486768 
0.025 0.306934 -2.5288e-05 0.486752 0.306932 -2.38081e-05 0.486768 
0.026 0.306934 -2.5636e-05 0.486751 0.306932 -2.38081e-05 0.486768 
0.027 0.306935 -2.37143e-05 0.486751 0.306932 -2.38081e-05 0.486768 
0.028 0.306936 -2.60692e-05 0.48675 0.306932 -2.38081e-05 0.486768 
0.029 0.306937 -2.59979e-05 0.486752 0.306932 -2.38081e-05 0.486768 
0.03 0.306937 -2.57249e-05 0.48675 0.306932 -2.38081e-05 0.486768 
0.031 0.306937 -2.82625e-05 0.486748 0.306932 -2.38081e-05 0.486768 
0.032 0.306938 -2.76686e-05 0.486748 0.306932 -2.38081e-05 0.486768 
0.033 0.306939 -2.77404e-05 0.486749 0.306932 -2.38081e-05 0.486768 
0.034 0.30694 -2.68639e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.035 0.306939 -2.60921e-05 0.486747 0.306932 -2.38081e-05 0.486768 
0.036 0.306942 -2.55534e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.037 0.306942 -2.53564e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.038 0.306943 -2.78695e-05 0.486745 0.306932 -2.38081e-05 0.486768 
0.039 0.306943 -2.79173e-05 0.486743 0.306932 -2.38081e-05 0.486768 
0.04 0.306944 -2.80048e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.041 0.306944 -2.76588e-05 0.486747 0.306932 -2.38081e-05 0.486768 
0.042 0.306945 -2.67941e-05 0.486744 0.306932 -2.38081e-05 0.486768 
0.043 0.306946 -2.52141e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.044 0.306945 -2.86081e-05 0.486747 0.306932 -2.38081e-05 0.486768 
0.045 0.306945 -2.62634e-05 0.486745 0.306932 -2.38081e-05 0.486768 
0.046 0.306945 -2.72486e-05 0.486745 0.306932 -2.38081e-05 0.486768 
0.047 0.306948 -2.5654e-05 0.486747 0.306932 -2.38081e-05 0.486768 
0.048 0.306946 -2.56524e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.049 0.306946 -2.31994e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.05 0.306948 -2.7642e-05 0.486745 0.306932 -2.38081e-05 0.486768 
0.051 0.306947 -2.96973e-05 0.486747 0.306932 -2.38081e-05 0.486768 
0.052 0.306949 -2.69877e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.053 0.30695 -2.62932e-05 0.486749 0.306932 -2.38081e-05 0.486768 
0.054 0.30695 -2.55949e-05 0.486747 0.306932 -2.38081e-05 0.486768 
0.055 0.306949 -3.0105e-05 0.486745 0.306932 -2.38081e-05 0.486768 
0.056 0.306949 -2.78975e-05 0.486745 0.306932 -2.38081e-05 0.486768 
0.057 0.30695 -2.81761e-05 0.486745 0.306932 -2.38081e-05 0.486768 
0.058 0.306951 -2.73056e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.059 0.30695 -2.89324e-05 0.486745 0.306932 -2.38081e-05 0.486768 
0.06 0.306949 -2.97656e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.061 0.306951 -2.83077e-05 0.486743 0.306932 -2.38081e-05 0.486768 
0.062 0.30695 -2.71016e-05 0.486743 0.306932 -2.38081e-05 0.486768 
0.063 0.30695 -2.84873e-05 0.486743 0.306932 -2.38081e-05 0.486768 
0.064 0.306951 -2.6222e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.065 0.306952 -2.6542e-05 0.486745 0.306932 -2.38081e-05 0.486768 
0.066 0.306951 -2.76172e-05 0.486748 0.306932 -2.38081e-05 0.486768 
0.067 0.306952 -2.58754e-05 0.486747 0.306932 -2.38081e-05 0.486768 
0.068 0.306954 -2.70697e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.069 0.306953 -2.72785e-05 0.486747 0.306932 -2.38081e-05 0.486768 
0.07 0.306954 -2.65377e-05 0.486745 0.306932 -2.38081e-05 0.486768 
0.071 0.306955 -2.77699e-05 0.486744 0.306932 -2.38081e-05 0.486768 
0.072 0.306955 -2.72095e-05 0.486745 0.306932 -2.38081e-05 0.486768 
0.073 0.306954 -2.67407e-05 0.486745 0.306932 -2.38081e-05 0.486768 
0.074 0.306956 -2.7425e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.075 0.306957 -2.74934e-05 0.486747 0.306932 -2.38081e-05 0.486768 
0.076 0.306958 -2.78331e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.077 0.306959 -2.84708e-05 0.486748 0.306932 -2.38081e-05 0.486768 
0.078 0.30696 -2.45382e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.079 0.30696 -2.86614e-05 0.486748 0.306932 -2.38081e-05 0.486768 
0.08 0.306961 -2.73054e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.081 0.306962 -2.61705e-05 0.486748 0.306932 -2.38081e-05 0.486768 
0.082 0.306962 -2.54554e-05 0.486748 0.306932 -2.38081e-05 0.486768 
0.083 0.306961 -2.5448e-05 0.486749 0.306932 -2.38081e-05 0.486768 
0.084 0.306962 -2.56898e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.085 0.306963 -2.68489e-05 0.486747 0.306932 -2.38081e-05 0.486768 
0.086 0.306964 -2.68054e-05 0.486748 0.306932 -2.38081e-05 0.486768 
0.087 0.306964 -2.79055e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.088 0.306965 -2.72381e-05 0.48675 0.306932 -2.38081e-05 0.486768 
0.089 0.306966 -2.71779e-05 0.486748 0.306932 -2.38081e-05 0.486768 
0.09 0.306966 -2.63847e-05 0.486751 0.306932 -2.38081e-05 0.486768 
0.091 0.306967 -2.74622e-05 0.486749 0.306932 -2.38081e-05 0.486768 
0.092 0.306968 -2.68939e-05 0.486749 0.306932 -2.38081e-05 0.486768 
0.093 0.306967 -2.72767e-05 0.486748 0.306932 -2.38081e-05 0.486768 
0.094 0.30697 -2.79149e-05 0.486747 0.306932 -2.38081e-05 0.486768 
0.095 0.306969 -2.68915e-05 0.486747 0.306932 -2.38081e-05 0.486768 
0.096 0.306971 -2.81129e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.097 0.30697 -2.7753e-05 0.486749 0.306932 -2.38081e-05 0.486768 
0.098 0.306973 -2.82015e-05 0.486748 0.306932 -2.38081e-05 0.486768 
0.099 0.306973 -2.88112e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.1 0.306973 -2.86393e-05 0.486745 0.306932 -2.38081e-05 0.486768 
0.101 0.306973 -2.94093e-05 0.486747 0.306932 -2.38081e-05 0.486768 
0.102 0.306975 -2.73575e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.103 0.306975 -2.71445e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.104 0.306975 -2.84434e-05 0.486744 0.306932 -2.38081e-05 0.486768 
0.105 0.306976 -2.92722e-05 0.486746 0.306932 -2.38081e-05 0.486768 
0.106 0.306976 -2.73305e-05 0.486747 0.306932 -2.38081e-05 0.486768 
0.107 0.306978 -2.90366e-05 0.486746 0.306932 -2.38081e-05 0.486768 
