time x y z x_d y_d z_d 
0 0.30694 1.06778e-05 0.486772 0.306939 9.64634e-06 0.48677 
0.001 0.30694 1.02497e-05 0.486772 0.306939 9.64634e-06 0.48677 
0.002 0.306941 8.74058e-06 0.486773 0.306939 9.64634e-06 0.48677 
0.003 0.30694 8.95519e-06 0.486771 0.306939 9.64634e-06 0.48677 
0.004 0.306938 7.03777e-06 0.486771 0.306939 9.64634e-06 0.48677 
0.005 0.306938 1.08237e-05 0.48677 0.306939 9.64634e-06 0.48677 
0.006 0.306938 9.83366e-06 0.486769 0.306939 9.64634e-06 0.48677 
0.007 0.306939 8.37774e-06 0.48677 0.306939 9.64634e-06 0.48677 
0.008 0.306941 8.12969e-06 0.486767 0.306939 9.64634e-06 0.48677 
0.009 0.30694 7.97073e-06 0.486766 0.306939 9.64634e-06 0.48677 
0.01 0.30694 1.0621e-05 0.486763 0.306939 9.64634e-06 0.48677 
0.011 0.30694 7.43282e-06 0.486767 0.306939 9.64634e-06 0.48677 
0.012 0.306941 1.18967e-05 0.486766 0.306939 9.64634e-06 0.48677 
0.013 0.306939 8.72835e-06 0.486763 0.306939 9.64634e-06 0.48677 
0.014 0.306939 9.62562e-06 0.486766 0.306939 9.64634e-06 0.48677 
0.015 0.306938 1.06502e-05 0.486762 0.306939 9.64634e-06 0.48677 
0.016 0.306938 9.39749e-06 0.486764 0.306939 9.64634e-06 0.48677 
0.017 0.306937 9.15071e-06 0.48676 0.306939 9.64634e-06 0.48677 
0.018 0.306938 9.46112e-06 0.486763 0.306939 9.64634e-06 0.48677 
0.019 0.306939 9.05348e-06 0.486761 0.306939 9.64634e-06 0.48677 
0.02 0.306938 8.34652e-06 0.486759 0.306939 9.64634e-06 0.48677 
0.021 0.30694 8.40824e-06 0.486759 0.306939 9.64634e-06 0.48677 
0.022 0.306939 8.80535e-06 0.486758 0.306939 9.64634e-06 0.48677 
0.023 0.30694 7.03083e-06 0.486758 0.306939 9.64634e-06 0.48677 
0.024 0.306939 8.45981e-06 0.486757 0.306939 9.64634e-06 0.48677 
0.025 0.30694 9.20549e-06 0.486757 0.306939 9.64634e-06 0.48677 
0.026 0.306941 9.05567e-06 0.486755 0.306939 9.64634e-06 0.48677 
0.027 0.306941 8.13645e-06 0.486757 0.306939 9.64634e-06 0.48677 
0.028 0.306941 8.48572e-06 0.486756 0.306939 9.64634e-06 0.48677 
0.029 0.306941 9.52113e-06 0.486757 0.306939 9.64634e-06 0.48677 
0.03 0.306944 9.0897e-06 0.486757 0.306939 9.64634e-06 0.48677 
0.031 0.306943 8.1079e-06 0.486753 0.306939 9.64634e-06 0.48677 
0.032 0.306944 9.16644e-06 0.486756 0.306939 9.64634e-06 0.48677 
0.033 0.306944 9.22891e-06 0.486751 0.306939 9.64634e-06 0.48677 
0.034 0.306944 1.08266e-05 0.486754 0.306939 9.64634e-06 0.48677 
0.035 0.306945 7.89812e-06 0.486755 0.306939 9.64634e-06 0.48677 
0.036 0.306946 9.27697e-06 0.486753 0.306939 9.64634e-06 0.48677 
0.037 0.306946 7.08112e-06 0.486751 0.306939 9.64634e-06 0.48677 
0.038 0.306946 9.31639e-06 0.486753 0.306939 9.64634e-06 0.48677 
0.039 0.306946 7.14585e-06 0.486751 0.306939 9.64634e-06 0.48677 
0.04 0.306948 9.74779e-06 0.48675 0.306939 9.64634e-06 0.48677 
0.041 0.306947 8.56199e-06 0.486752 0.306939 9.64634e-06 0.48677 
0.042 0.306948 8.05383e-06 0.486754 0.306939 9.64634e-06 0.48677 
0.043 0.306948 7.35869e-06 0.48675 0.306939 9.64634e-06 0.48677 
0.044 0.306948 8.45775e-06 0.486752 0.306939 9.64634e-06 0.48677 
0.045 0.306947 7.99835e-06 0.486751 0.306939 9.64634e-06 0.48677 
0.046 0.306949 7.76345e-06 0.48675 0.306939 9.64634e-06 0.48677 
0.047 0.306948 8.88008e-06 0.486753 0.306939 9.64634e-06 0.48677 
0.048 0.306949 9.86262e-06 0.486749 0.306939 9.64634e-06 0.48677 
0.049 0.306948 1.07821e-05 0.486751 0.306939 9.64634e-06 0.48677 
0.05 0.30695 8.49867e-06 0.486749 0.306939 9.64634e-06 0.48677 
0.051 0.30695 1.06679e-05 0.48675 0.306939 9.64634e-06 0.48677 
0.052 0.306951 9.36388e-06 0.48675 0.306939 9.64634e-06 0.48677 
0.053 0.30695 9.39358e-06 0.486749 0.306939 9.64634e-06 0.48677 
0.054 0.30695 8.17699e-06 0.486748 0.306939 9.64634e-06 0.48677 
0.055 0.306952 8.88001e-06 0.486752 0.306939 9.64634e-06 0.48677 
0.056 0.30695 8.54042e-06 0.486751 0.306939 9.64634e-06 0.48677 
0.057 0.306952 8.30482e-06 0.486752 0.306939 9.64634e-06 0.48677 
0.058 0.306952 7.40895e-06 0.486753 0.306939 9.64634e-06 0.48677 
0.059 0.306953 9.26023e-06 0.486748 0.306939 9.64634e-06 0.48677 
0.06 0.306951 8.24222e-06 0.486749 0.306939 9.64634e-06 0.48677 
0.061 0.30695 9.44374e-06 0.48675 0.306939 9.64634e-06 0.48677 
0.062 0.306952 7.81151e-06 0.486752 0.306939 9.64634e-06 0.48677 
0.063 0.306952 7.75495e-06 0.486749 0.306939 9.64634e-06 0.48677 
0.064 0.306952 9.16972e-06 0.48675 0.306939 9.64634e-06 0.48677 
0.065 0.306951 9.7203e-06 0.486747 0.306939 9.64634e-06 0.48677 
0.066 0.306952 9.87012e-06 0.486747 0.306939 9.64634e-06 0.48677 
0.067 0.306953 9.28827e-06 0.486751 0.306939 9.64634e-06 0.48677 
