time x y z x_d y_d z_d 
0 0.306936 9.98166e-06 0.486779 0.306935 1.03961e-05 0.486779 
0.001 0.306936 1.01117e-05 0.486777 0.306935 1.03961e-05 0.486779 
0.002 0.306937 8.65377e-06 0.48678 0.306935 1.03961e-05 0.486779 
0.003 0.306936 8.29014e-06 0.486777 0.306935 1.03961e-05 0.486779 
0.004 0.306936 9.03578e-06 0.486778 0.306935 1.03961e-05 0.486779 
0.005 0.306936 8.89073e-06 0.486777 0.306935 1.03961e-05 0.486779 
0.006 0.306936 1.07134e-05 0.486774 0.306935 1.03961e-05 0.486779 
0.007 0.306937 9.55313e-06 0.486775 0.306935 1.03961e-05 0.486779 
0.008 0.306939 9.51794e-06 0.486773 0.306935 1.03961e-05 0.486779 
0.009 0.306938 9.06436e-06 0.486774 0.306935 1.03961e-05 0.486779 
0.01 0.30694 1.25049e-05 0.486774 0.306935 1.03961e-05 0.486779 
0.011 0.306939 8.80166e-06 0.486773 0.306935 1.03961e-05 0.486779 
0.012 0.306938 9.32478e-06 0.486769 0.306935 1.03961e-05 0.486779 
0.013 0.306939 8.82242e-06 0.486773 0.306935 1.03961e-05 0.486779 
0.014 0.306939 1.02324e-05 0.48677 0.306935 1.03961e-05 0.486779 
0.015 0.306939 8.43921e-06 0.486766 0.306935 1.03961e-05 0.486779 
0.016 0.306938 1.01387e-05 0.486764 0.306935 1.03961e-05 0.486779 
0.017 0.306937 8.76533e-06 0.486765 0.306935 1.03961e-05 0.486779 
0.018 0.306937 8.32451e-06 0.486764 0.306935 1.03961e-05 0.486779 
0.019 0.306938 9.05938e-06 0.486764 0.306935 1.03961e-05 0.486779 
0.02 0.306939 8.73071e-06 0.486763 0.306935 1.03961e-05 0.486779 
0.021 0.306938 1.01841e-05 0.486765 0.306935 1.03961e-05 0.486779 
0.022 0.306939 8.51997e-06 0.486763 0.306935 1.03961e-05 0.486779 
0.023 0.30694 9.27435e-06 0.486763 0.306935 1.03961e-05 0.486779 
0.024 0.306939 1.11115e-05 0.486763 0.306935 1.03961e-05 0.486779 
0.025 0.30694 1.04067e-05 0.486762 0.306935 1.03961e-05 0.486779 
0.026 0.30694 8.83544e-06 0.48676 0.306935 1.03961e-05 0.486779 
0.027 0.30694 1.01476e-05 0.486761 0.306935 1.03961e-05 0.486779 
0.028 0.306941 6.69865e-06 0.48676 0.306935 1.03961e-05 0.486779 
0.029 0.306941 8.65411e-06 0.48676 0.306935 1.03961e-05 0.486779 
0.03 0.306942 8.32291e-06 0.486761 0.306935 1.03961e-05 0.486779 
0.031 0.306942 8.83507e-06 0.486759 0.306935 1.03961e-05 0.486779 
0.032 0.306944 9.26457e-06 0.48676 0.306935 1.03961e-05 0.486779 
0.033 0.306944 8.11435e-06 0.486763 0.306935 1.03961e-05 0.486779 
0.034 0.306943 7.64867e-06 0.486758 0.306935 1.03961e-05 0.486779 
0.035 0.306945 8.04013e-06 0.486759 0.306935 1.03961e-05 0.486779 
0.036 0.306946 8.32314e-06 0.486758 0.306935 1.03961e-05 0.486779 
0.037 0.306947 8.92182e-06 0.486756 0.306935 1.03961e-05 0.486779 
0.038 0.306947 7.47923e-06 0.486758 0.306935 1.03961e-05 0.486779 
0.039 0.306949 7.72917e-06 0.486757 0.306935 1.03961e-05 0.486779 
0.04 0.306948 7.98677e-06 0.486759 0.306935 1.03961e-05 0.486779 
0.041 0.30695 7.37148e-06 0.486756 0.306935 1.03961e-05 0.486779 
0.042 0.30695 7.67499e-06 0.486756 0.306935 1.03961e-05 0.486779 
0.043 0.30695 8.73088e-06 0.486754 0.306935 1.03961e-05 0.486779 
0.044 0.306951 8.88454e-06 0.486757 0.306935 1.03961e-05 0.486779 
0.045 0.306951 6.9396e-06 0.486756 0.306935 1.03961e-05 0.486779 
0.046 0.306952 7.64778e-06 0.486754 0.306935 1.03961e-05 0.486779 
0.047 0.306952 6.6055e-06 0.486757 0.306935 1.03961e-05 0.486779 
0.048 0.306953 7.68331e-06 0.486756 0.306935 1.03961e-05 0.486779 
0.049 0.306953 9.76304e-06 0.486754 0.306935 1.03961e-05 0.486779 
0.05 0.306953 6.25001e-06 0.486755 0.306935 1.03961e-05 0.486779 
0.051 0.306954 8.03255e-06 0.486756 0.306935 1.03961e-05 0.486779 
0.052 0.306955 7.80023e-06 0.486754 0.306935 1.03961e-05 0.486779 
0.053 0.306954 6.1233e-06 0.486759 0.306935 1.03961e-05 0.486779 
0.054 0.306954 8.05856e-06 0.486755 0.306935 1.03961e-05 0.486779 
0.055 0.306956 8.87448e-06 0.486756 0.306935 1.03961e-05 0.486779 
0.056 0.306956 4.99955e-06 0.486757 0.306935 1.03961e-05 0.486779 
0.057 0.306956 7.7914e-06 0.486754 0.306935 1.03961e-05 0.486779 
0.058 0.306956 8.21943e-06 0.486754 0.306935 1.03961e-05 0.486779 
0.06 0.306957 1.01219e-05 0.486757 0.306935 1.03961e-05 0.486779 
0.061 0.306957 7.58208e-06 0.486757 0.306935 1.03961e-05 0.486779 
0.062 0.306958 9.4084e-06 0.486759 0.306935 1.03961e-05 0.486779 
0.063 0.30696 9.03934e-06 0.486757 0.306935 1.03961e-05 0.486779 
0.064 0.306959 9.67982e-06 0.486756 0.306935 1.03961e-05 0.486779 
0.065 0.306961 7.67403e-06 0.486758 0.306935 1.03961e-05 0.486779 
0.066 0.306961 8.6206e-06 0.486759 0.306935 1.03961e-05 0.486779 
0.067 0.306961 9.62976e-06 0.486758 0.306935 1.03961e-05 0.486779 
0.068 0.306964 9.20576e-06 0.486754 0.306935 1.03961e-05 0.486779 
0.069 0.306964 7.4759e-06 0.486756 0.306935 1.03961e-05 0.486779 
0.07 0.306965 9.81906e-06 0.48676 0.306935 1.03961e-05 0.486779 
0.071 0.306966 9.65617e-06 0.486758 0.306935 1.03961e-05 0.486779 
0.072 0.306967 1.06567e-05 0.486759 0.306935 1.03961e-05 0.486779 
0.073 0.306968 8.79319e-06 0.48676 0.306935 1.03961e-05 0.486779 
0.074 0.306968 8.04747e-06 0.486758 0.306935 1.03961e-05 0.486779 
0.075 0.30697 9.11118e-06 0.48676 0.306935 1.03961e-05 0.486779 
0.076 0.306969 6.44443e-06 0.486762 0.306935 1.03961e-05 0.486779 
0.077 0.30697 7.35642e-06 0.486762 0.306935 1.03961e-05 0.486779 
0.078 0.306972 7.05676e-06 0.486761 0.306935 1.03961e-05 0.486779 
0.079 0.306974 7.96521e-06 0.486764 0.306935 1.03961e-05 0.486779 
0.08 0.306974 8.86614e-06 0.486762 0.306935 1.03961e-05 0.486779 
0.081 0.306974 6.08952e-06 0.486762 0.306935 1.03961e-05 0.486779 
0.082 0.306976 7.01121e-06 0.486765 0.306935 1.03961e-05 0.486779 
0.083 0.306976 8.77578e-06 0.486761 0.306935 1.03961e-05 0.486779 
0.084 0.306978 9.7754e-06 0.486762 0.306935 1.03961e-05 0.486779 
0.085 0.306978 8.33074e-06 0.486762 0.306935 1.03961e-05 0.486779 
0.086 0.30698 6.41096e-06 0.486766 0.306935 1.03961e-05 0.486779 
0.087 0.306979 6.6066e-06 0.486766 0.306935 1.03961e-05 0.486779 
0.088 0.306981 7.78092e-06 0.486765 0.306935 1.03961e-05 0.486779 
0.089 0.306982 6.91921e-06 0.486766 0.306935 1.03961e-05 0.486779 
0.09 0.306983 7.82403e-06 0.486763 0.306935 1.03961e-05 0.486779 
0.091 0.306983 7.9849e-06 0.486765 0.306935 1.03961e-05 0.486779 
0.092 0.306984 7.82244e-06 0.486766 0.306935 1.03961e-05 0.486779 
0.093 0.306986 8.25566e-06 0.486767 0.306935 1.03961e-05 0.486779 
0.094 0.306987 7.20344e-06 0.486768 0.306935 1.03961e-05 0.486779 
0.095 0.306987 8.66463e-06 0.486767 0.306935 1.03961e-05 0.486779 
0.096 0.306989 8.76302e-06 0.486767 0.306935 1.03961e-05 0.486779 
0.097 0.306988 8.04086e-06 0.486768 0.306935 1.03961e-05 0.486779 
0.098 0.306989 6.95623e-06 0.486766 0.306935 1.03961e-05 0.486779 
0.099 0.30699 9.67178e-06 0.48677 0.306935 1.03961e-05 0.486779 
0.1 0.30699 8.67942e-06 0.48677 0.306935 1.03961e-05 0.486779 
0.101 0.30699 7.61075e-06 0.486769 0.306935 1.03961e-05 0.486779 
0.102 0.306992 8.6406e-06 0.486768 0.306935 1.03961e-05 0.486779 
0.103 0.306991 6.92173e-06 0.486769 0.306935 1.03961e-05 0.486779 
0.104 0.306991 6.87531e-06 0.486769 0.306935 1.03961e-05 0.486779 
0.105 0.306992 7.37419e-06 0.486769 0.306935 1.03961e-05 0.486779 
0.106 0.306993 7.21293e-06 0.48677 0.306935 1.03961e-05 0.486779 
0.107 0.306993 6.73113e-06 0.486768 0.306935 1.03961e-05 0.486779 
0.108 0.306993 8.43599e-06 0.486772 0.306935 1.03961e-05 0.486779 
0.109 0.306994 8.00762e-06 0.486773 0.306935 1.03961e-05 0.486779 
0.11 0.306995 8.51399e-06 0.486769 0.306935 1.03961e-05 0.486779 
0.111 0.306994 9.38336e-06 0.486771 0.306935 1.03961e-05 0.486779 
0.112 0.306995 7.74853e-06 0.486773 0.306935 1.03961e-05 0.486779 
0.113 0.306996 7.1955e-06 0.48677 0.306935 1.03961e-05 0.486779 
0.114 0.306996 7.14922e-06 0.486772 0.306935 1.03961e-05 0.486779 
0.115 0.306995 9.54124e-06 0.486771 0.306935 1.03961e-05 0.486779 
