time x y z x_d y_d z_d 
0 0.306941 7.33254e-05 0.486774 0.306942 7.35485e-05 0.486774 
0.001 0.306942 7.18506e-05 0.486774 0.306942 7.35485e-05 0.486774 
0.002 0.306941 7.28698e-05 0.486775 0.306942 7.35485e-05 0.486774 
0.003 0.306942 7.11102e-05 0.486774 0.306942 7.35485e-05 0.486774 
0.004 0.306941 7.30193e-05 0.486775 0.306942 7.35485e-05 0.486774 
0.005 0.306939 7.31394e-05 0.486772 0.306942 7.35485e-05 0.486774 
0.006 0.30694 7.58373e-05 0.486769 0.306942 7.35485e-05 0.486774 
0.007 0.306941 7.66374e-05 0.486766 0.306942 7.35485e-05 0.486774 
0.008 0.306943 7.39865e-05 0.486769 0.306942 7.35485e-05 0.486774 
0.009 0.306944 7.64146e-05 0.486768 0.306942 7.35485e-05 0.486774 
0.01 0.306944 7.86158e-05 0.486767 0.306942 7.35485e-05 0.486774 
0.011 0.306944 7.6945e-05 0.486765 0.306942 7.35485e-05 0.486774 
0.012 0.306945 7.85725e-05 0.486764 0.306942 7.35485e-05 0.486774 
0.013 0.306945 7.87133e-05 0.486765 0.306942 7.35485e-05 0.486774 
0.014 0.306943 7.95907e-05 0.486762 0.306942 7.35485e-05 0.486774 
0.015 0.306944 7.86106e-05 0.486762 0.306942 7.35485e-05 0.486774 
0.016 0.306944 7.89017e-05 0.486761 0.306942 7.35485e-05 0.486774 
0.017 0.306944 7.88486e-05 0.486764 0.306942 7.35485e-05 0.486774 
0.018 0.306942 7.78523e-05 0.48676 0.306942 7.35485e-05 0.486774 
0.019 0.306943 7.76722e-05 0.486761 0.306942 7.35485e-05 0.486774 
0.02 0.306943 7.89345e-05 0.486759 0.306942 7.35485e-05 0.486774 
0.021 0.306945 8.07139e-05 0.48676 0.306942 7.35485e-05 0.486774 
0.022 0.306945 7.93899e-05 0.486759 0.306942 7.35485e-05 0.486774 
0.023 0.306944 8.00921e-05 0.486759 0.306942 7.35485e-05 0.486774 
0.024 0.306945 7.99689e-05 0.486757 0.306942 7.35485e-05 0.486774 
0.025 0.306945 7.97733e-05 0.486758 0.306942 7.35485e-05 0.486774 
0.026 0.306945 8.27693e-05 0.486757 0.306942 7.35485e-05 0.486774 
0.027 0.306946 8.07256e-05 0.486755 0.306942 7.35485e-05 0.486774 
0.028 0.306948 8.16248e-05 0.486756 0.306942 7.35485e-05 0.486774 
0.029 0.306948 8.13008e-05 0.486756 0.306942 7.35485e-05 0.486774 
0.03 0.306948 8.3434e-05 0.486756 0.306942 7.35485e-05 0.486774 
0.031 0.30695 8.04206e-05 0.486754 0.306942 7.35485e-05 0.486774 
0.032 0.306951 8.27054e-05 0.486753 0.306942 7.35485e-05 0.486774 
0.033 0.306952 8.14236e-05 0.486753 0.306942 7.35485e-05 0.486774 
0.034 0.306952 8.21877e-05 0.486754 0.306942 7.35485e-05 0.486774 
0.035 0.306953 8.22589e-05 0.48675 0.306942 7.35485e-05 0.486774 
0.036 0.306952 8.55147e-05 0.486751 0.306942 7.35485e-05 0.486774 
0.037 0.306952 8.07668e-05 0.486748 0.306942 7.35485e-05 0.486774 
0.038 0.306954 8.3152e-05 0.486751 0.306942 7.35485e-05 0.486774 
0.039 0.306955 8.3903e-05 0.48675 0.306942 7.35485e-05 0.486774 
0.04 0.306956 8.44198e-05 0.486753 0.306942 7.35485e-05 0.486774 
0.041 0.306956 8.53037e-05 0.486751 0.306942 7.35485e-05 0.486774 
0.042 0.306957 8.45304e-05 0.486751 0.306942 7.35485e-05 0.486774 
0.043 0.306958 8.47715e-05 0.486752 0.306942 7.35485e-05 0.486774 
0.044 0.306957 8.47279e-05 0.486751 0.306942 7.35485e-05 0.486774 
0.045 0.306959 8.41391e-05 0.486752 0.306942 7.35485e-05 0.486774 
0.046 0.30696 8.60878e-05 0.486751 0.306942 7.35485e-05 0.486774 
0.047 0.30696 8.52557e-05 0.486753 0.306942 7.35485e-05 0.486774 
