time x y z x_d y_d z_d 
0 0.306941 7.2151e-05 0.48677 0.306941 7.38086e-05 0.486766 
0.001 0.306941 7.32041e-05 0.486768 0.306941 7.38086e-05 0.486766 
0.002 0.306941 7.38284e-05 0.486769 0.306941 7.38086e-05 0.486766 
0.003 0.306941 7.42083e-05 0.486769 0.306941 7.38086e-05 0.486766 
0.004 0.30694 7.15715e-05 0.486768 0.306941 7.38086e-05 0.486766 
0.005 0.30694 7.40444e-05 0.486769 0.306941 7.38086e-05 0.486766 
0.006 0.30694 7.41246e-05 0.486766 0.306941 7.38086e-05 0.486766 
0.007 0.306941 7.38005e-05 0.486764 0.306941 7.38086e-05 0.486766 
0.008 0.306942 7.3421e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.009 0.306943 7.28988e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.01 0.306943 7.40341e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.011 0.306943 7.76788e-05 0.486764 0.306941 7.38086e-05 0.486766 
0.012 0.306943 7.37774e-05 0.486759 0.306941 7.38086e-05 0.486766 
0.013 0.306942 7.6204e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.014 0.306942 7.69726e-05 0.486761 0.306941 7.38086e-05 0.486766 
0.015 0.306943 7.70691e-05 0.486758 0.306941 7.38086e-05 0.486766 
0.016 0.30694 7.7101e-05 0.486758 0.306941 7.38086e-05 0.486766 
0.017 0.306942 7.87829e-05 0.486758 0.306941 7.38086e-05 0.486766 
0.018 0.306941 7.80434e-05 0.486757 0.306941 7.38086e-05 0.486766 
0.019 0.30694 7.5265e-05 0.486756 0.306941 7.38086e-05 0.486766 
0.02 0.306942 7.78877e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.021 0.306942 7.86804e-05 0.486757 0.306941 7.38086e-05 0.486766 
0.022 0.306942 7.85837e-05 0.486757 0.306941 7.38086e-05 0.486766 
0.023 0.306944 7.91726e-05 0.486759 0.306941 7.38086e-05 0.486766 
0.024 0.306943 7.92731e-05 0.486753 0.306941 7.38086e-05 0.486766 
0.025 0.306944 7.99079e-05 0.486756 0.306941 7.38086e-05 0.486766 
0.026 0.306943 7.80459e-05 0.486756 0.306941 7.38086e-05 0.486766 
0.027 0.306945 7.79036e-05 0.486753 0.306941 7.38086e-05 0.486766 
0.028 0.306944 8.00246e-05 0.486753 0.306941 7.38086e-05 0.486766 
0.029 0.306945 7.9672e-05 0.486754 0.306941 7.38086e-05 0.486766 
0.03 0.306945 8.03058e-05 0.486752 0.306941 7.38086e-05 0.486766 
0.031 0.306945 7.86134e-05 0.486754 0.306941 7.38086e-05 0.486766 
0.032 0.306945 7.9705e-05 0.486753 0.306941 7.38086e-05 0.486766 
0.033 0.306946 7.84164e-05 0.486753 0.306941 7.38086e-05 0.486766 
0.034 0.306946 8.14515e-05 0.486754 0.306941 7.38086e-05 0.486766 
0.035 0.306946 8.06856e-05 0.486752 0.306941 7.38086e-05 0.486766 
0.036 0.306947 8.08816e-05 0.486754 0.306941 7.38086e-05 0.486766 
0.037 0.306948 7.93935e-05 0.486753 0.306941 7.38086e-05 0.486766 
0.038 0.306948 8.14022e-05 0.486753 0.306941 7.38086e-05 0.486766 
0.039 0.306949 7.90499e-05 0.486751 0.306941 7.38086e-05 0.486766 
0.04 0.306949 8.12875e-05 0.486753 0.306941 7.38086e-05 0.486766 
0.041 0.30695 8.30208e-05 0.48675 0.306941 7.38086e-05 0.486766 
0.042 0.306951 8.13875e-05 0.486754 0.306941 7.38086e-05 0.486766 
0.043 0.306951 8.151e-05 0.486751 0.306941 7.38086e-05 0.486766 
0.044 0.306952 8.19614e-05 0.48675 0.306941 7.38086e-05 0.486766 
0.045 0.306953 8.26099e-05 0.486749 0.306941 7.38086e-05 0.486766 
0.046 0.306952 8.04108e-05 0.48675 0.306941 7.38086e-05 0.486766 
0.047 0.306953 7.99798e-05 0.486749 0.306941 7.38086e-05 0.486766 
0.048 0.306952 8.00061e-05 0.486748 0.306941 7.38086e-05 0.486766 
0.049 0.306954 8.05598e-05 0.486752 0.306941 7.38086e-05 0.486766 
0.05 0.306954 7.98613e-05 0.48675 0.306941 7.38086e-05 0.486766 
0.051 0.306954 8.24291e-05 0.486753 0.306941 7.38086e-05 0.486766 
0.052 0.306954 8.26549e-05 0.48675 0.306941 7.38086e-05 0.486766 
0.053 0.306954 8.15959e-05 0.486754 0.306941 7.38086e-05 0.486766 
0.054 0.306954 8.23232e-05 0.48675 0.306941 7.38086e-05 0.486766 
0.055 0.306954 8.33313e-05 0.486748 0.306941 7.38086e-05 0.486766 
0.056 0.306955 8.27422e-05 0.486752 0.306941 7.38086e-05 0.486766 
0.057 0.306954 8.00528e-05 0.486752 0.306941 7.38086e-05 0.486766 
0.058 0.306955 8.11639e-05 0.486752 0.306941 7.38086e-05 0.486766 
0.059 0.306956 8.17667e-05 0.486753 0.306941 7.38086e-05 0.486766 
0.06 0.306955 8.3759e-05 0.486751 0.306941 7.38086e-05 0.486766 
0.061 0.306957 8.22417e-05 0.486749 0.306941 7.38086e-05 0.486766 
0.062 0.306957 8.18524e-05 0.486752 0.306941 7.38086e-05 0.486766 
0.063 0.306957 8.42221e-05 0.486749 0.306941 7.38086e-05 0.486766 
0.064 0.306958 8.08298e-05 0.486751 0.306941 7.38086e-05 0.486766 
0.065 0.306958 8.16469e-05 0.486752 0.306941 7.38086e-05 0.486766 
0.066 0.306959 8.16852e-05 0.486749 0.306941 7.38086e-05 0.486766 
0.067 0.306961 8.14334e-05 0.486751 0.306941 7.38086e-05 0.486766 
0.068 0.306961 8.23197e-05 0.48675 0.306941 7.38086e-05 0.486766 
0.069 0.306961 8.0286e-05 0.486751 0.306941 7.38086e-05 0.486766 
0.07 0.306961 8.37295e-05 0.486751 0.306941 7.38086e-05 0.486766 
0.071 0.306964 8.25173e-05 0.486753 0.306941 7.38086e-05 0.486766 
0.072 0.306963 8.45925e-05 0.486752 0.306941 7.38086e-05 0.486766 
0.073 0.306964 8.32345e-05 0.48675 0.306941 7.38086e-05 0.486766 
0.074 0.306965 8.21155e-05 0.486754 0.306941 7.38086e-05 0.486766 
0.075 0.306966 8.27861e-05 0.486751 0.306941 7.38086e-05 0.486766 
0.076 0.306967 8.44649e-05 0.486752 0.306941 7.38086e-05 0.486766 
0.077 0.306968 8.61911e-05 0.486756 0.306941 7.38086e-05 0.486766 
0.078 0.306968 8.12045e-05 0.486752 0.306941 7.38086e-05 0.486766 
0.079 0.30697 8.46056e-05 0.486756 0.306941 7.38086e-05 0.486766 
0.08 0.306971 8.20454e-05 0.486753 0.306941 7.38086e-05 0.486766 
0.081 0.306971 8.25774e-05 0.486751 0.306941 7.38086e-05 0.486766 
0.082 0.306974 8.35104e-05 0.486752 0.306941 7.38086e-05 0.486766 
0.083 0.306975 8.22682e-05 0.486754 0.306941 7.38086e-05 0.486766 
0.084 0.306976 8.35431e-05 0.486752 0.306941 7.38086e-05 0.486766 
0.085 0.306978 8.40023e-05 0.486754 0.306941 7.38086e-05 0.486766 
0.086 0.306979 8.3936e-05 0.486755 0.306941 7.38086e-05 0.486766 
0.087 0.306979 8.35685e-05 0.486755 0.306941 7.38086e-05 0.486766 
0.088 0.306981 8.50928e-05 0.486755 0.306941 7.38086e-05 0.486766 
0.089 0.306982 8.59184e-05 0.486755 0.306941 7.38086e-05 0.486766 
0.091 0.306983 8.56292e-05 0.486756 0.306941 7.38086e-05 0.486766 
0.092 0.306984 8.56375e-05 0.486756 0.306941 7.38086e-05 0.486766 
0.093 0.306985 8.53881e-05 0.486756 0.306941 7.38086e-05 0.486766 
0.094 0.306985 8.45201e-05 0.486755 0.306941 7.38086e-05 0.486766 
0.095 0.306987 8.47346e-05 0.486756 0.306941 7.38086e-05 0.486766 
0.096 0.306987 8.36659e-05 0.486755 0.306941 7.38086e-05 0.486766 
0.097 0.306988 8.2683e-05 0.486759 0.306941 7.38086e-05 0.486766 
0.098 0.306989 8.53897e-05 0.486755 0.306941 7.38086e-05 0.486766 
0.099 0.30699 8.35903e-05 0.486758 0.306941 7.38086e-05 0.486766 
0.1 0.30699 8.58482e-05 0.486758 0.306941 7.38086e-05 0.486766 
0.101 0.306991 8.45312e-05 0.486759 0.306941 7.38086e-05 0.486766 
0.102 0.306993 8.54823e-05 0.486758 0.306941 7.38086e-05 0.486766 
0.103 0.306992 8.41678e-05 0.486761 0.306941 7.38086e-05 0.486766 
0.104 0.306992 8.24094e-05 0.486758 0.306941 7.38086e-05 0.486766 
0.105 0.306992 8.64965e-05 0.486761 0.306941 7.38086e-05 0.486766 
0.106 0.306992 8.63985e-05 0.486761 0.306941 7.38086e-05 0.486766 
0.107 0.306993 8.5383e-05 0.486759 0.306941 7.38086e-05 0.486766 
0.108 0.306992 8.46718e-05 0.486761 0.306941 7.38086e-05 0.486766 
0.109 0.306993 8.58492e-05 0.48676 0.306941 7.38086e-05 0.486766 
0.11 0.306993 8.39213e-05 0.48676 0.306941 7.38086e-05 0.486766 
0.111 0.306992 8.50901e-05 0.486761 0.306941 7.38086e-05 0.486766 
0.112 0.306995 8.47677e-05 0.486763 0.306941 7.38086e-05 0.486766 
0.113 0.306994 8.51862e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.114 0.306995 8.5571e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.115 0.306994 8.47597e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.116 0.306994 8.55851e-05 0.486763 0.306941 7.38086e-05 0.486766 
0.117 0.306994 8.81648e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.118 0.306994 8.53309e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.119 0.306993 8.40072e-05 0.486764 0.306941 7.38086e-05 0.486766 
0.12 0.306994 8.53495e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.121 0.306995 8.37034e-05 0.486763 0.306941 7.38086e-05 0.486766 
0.122 0.306994 8.54889e-05 0.486758 0.306941 7.38086e-05 0.486766 
0.123 0.306994 8.57551e-05 0.486761 0.306941 7.38086e-05 0.486766 
0.124 0.306995 8.78787e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.125 0.306994 8.60237e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.126 0.306995 8.5978e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.127 0.306995 8.55353e-05 0.486762 0.306941 7.38086e-05 0.486766 
0.128 0.306995 8.62583e-05 0.486763 0.306941 7.38086e-05 0.486766 
0.129 0.306996 8.533e-05 0.486762 0.306941 7.38086e-05 0.486766 
