time x y z x_d y_d z_d 
0 0.306947 7.5295e-05 0.486774 0.306948 7.55858e-05 0.486779 
0.001 0.306947 7.58957e-05 0.486775 0.306948 7.55858e-05 0.486779 
0.002 0.306947 7.65628e-05 0.486777 0.306948 7.55858e-05 0.486779 
0.003 0.306946 7.43935e-05 0.486777 0.306948 7.55858e-05 0.486779 
0.004 0.306946 7.6538e-05 0.486774 0.306948 7.55858e-05 0.486779 
0.005 0.306946 7.5751e-05 0.486775 0.306948 7.55858e-05 0.486779 
0.006 0.306946 7.74775e-05 0.486774 0.306948 7.55858e-05 0.486779 
0.007 0.306949 7.79151e-05 0.486774 0.306948 7.55858e-05 0.486779 
0.008 0.306948 7.62279e-05 0.486771 0.306948 7.55858e-05 0.486779 
0.009 0.306949 7.68732e-05 0.486768 0.306948 7.55858e-05 0.486779 
0.01 0.306951 7.96994e-05 0.486771 0.306948 7.55858e-05 0.486779 
0.011 0.30695 7.83835e-05 0.486771 0.306948 7.55858e-05 0.486779 
0.012 0.306949 7.81698e-05 0.48677 0.306948 7.55858e-05 0.486779 
0.013 0.30695 7.9222e-05 0.48677 0.306948 7.55858e-05 0.486779 
0.014 0.30695 7.96935e-05 0.486768 0.306948 7.55858e-05 0.486779 
0.015 0.306949 7.81352e-05 0.486768 0.306948 7.55858e-05 0.486779 
0.016 0.306949 7.68091e-05 0.486768 0.306948 7.55858e-05 0.486779 
0.017 0.306948 7.64138e-05 0.486765 0.306948 7.55858e-05 0.486779 
0.018 0.306948 7.98121e-05 0.486764 0.306948 7.55858e-05 0.486779 
0.019 0.306948 7.9131e-05 0.486766 0.306948 7.55858e-05 0.486779 
0.02 0.306948 8.00007e-05 0.486769 0.306948 7.55858e-05 0.486779 
0.021 0.306949 8.04391e-05 0.486764 0.306948 7.55858e-05 0.486779 
0.022 0.306949 8.15999e-05 0.486765 0.306948 7.55858e-05 0.486779 
0.023 0.30695 8.35818e-05 0.486764 0.306948 7.55858e-05 0.486779 
0.024 0.30695 8.50076e-05 0.486766 0.306948 7.55858e-05 0.486779 
0.025 0.306951 8.42897e-05 0.48676 0.306948 7.55858e-05 0.486779 
0.026 0.306951 8.3324e-05 0.486762 0.306948 7.55858e-05 0.486779 
0.027 0.306953 8.23046e-05 0.486762 0.306948 7.55858e-05 0.486779 
0.028 0.306954 8.56406e-05 0.48676 0.306948 7.55858e-05 0.486779 
0.029 0.306954 8.54001e-05 0.486757 0.306948 7.55858e-05 0.486779 
0.03 0.306955 8.55236e-05 0.48676 0.306948 7.55858e-05 0.486779 
0.031 0.306956 8.65374e-05 0.486759 0.306948 7.55858e-05 0.486779 
0.032 0.306957 8.66034e-05 0.486756 0.306948 7.55858e-05 0.486779 
0.033 0.306957 8.74736e-05 0.486756 0.306948 7.55858e-05 0.486779 
0.034 0.306959 8.981e-05 0.486758 0.306948 7.55858e-05 0.486779 
0.035 0.306959 8.83355e-05 0.486758 0.306948 7.55858e-05 0.486779 
0.036 0.306958 8.82696e-05 0.486757 0.306948 7.55858e-05 0.486779 
0.037 0.306959 9.04627e-05 0.486757 0.306948 7.55858e-05 0.486779 
0.038 0.306959 8.7396e-05 0.486758 0.306948 7.55858e-05 0.486779 
0.039 0.306959 8.99284e-05 0.486758 0.306948 7.55858e-05 0.486779 
0.04 0.30696 8.9668e-05 0.486758 0.306948 7.55858e-05 0.486779 
0.041 0.306961 8.81075e-05 0.486759 0.306948 7.55858e-05 0.486779 
0.042 0.306961 8.91957e-05 0.486758 0.306948 7.55858e-05 0.486779 
0.043 0.306963 9.14254e-05 0.486759 0.306948 7.55858e-05 0.486779 
0.044 0.306963 9.18892e-05 0.486758 0.306948 7.55858e-05 0.486779 
0.045 0.306964 8.92434e-05 0.486759 0.306948 7.55858e-05 0.486779 
0.046 0.306967 9.01345e-05 0.486758 0.306948 7.55858e-05 0.486779 
0.047 0.306965 9.10814e-05 0.486755 0.306948 7.55858e-05 0.486779 
0.048 0.306968 9.09454e-05 0.486758 0.306948 7.55858e-05 0.486779 
0.049 0.306968 9.27707e-05 0.486758 0.306948 7.55858e-05 0.486779 
0.05 0.306967 9.32375e-05 0.486757 0.306948 7.55858e-05 0.486779 
0.051 0.30697 9.14511e-05 0.486754 0.306948 7.55858e-05 0.486779 
0.052 0.306969 9.48532e-05 0.486753 0.306948 7.55858e-05 0.486779 
0.053 0.30697 9.27386e-05 0.486757 0.306948 7.55858e-05 0.486779 
0.054 0.30697 9.21049e-05 0.486754 0.306948 7.55858e-05 0.486779 
0.055 0.306972 9.46112e-05 0.486754 0.306948 7.55858e-05 0.486779 
0.056 0.306973 9.23561e-05 0.486755 0.306948 7.55858e-05 0.486779 
0.057 0.306973 9.56158e-05 0.486755 0.306948 7.55858e-05 0.486779 
0.058 0.306974 9.57036e-05 0.486754 0.306948 7.55858e-05 0.486779 
0.059 0.306974 9.52683e-05 0.486755 0.306948 7.55858e-05 0.486779 
0.06 0.306975 9.5776e-05 0.486755 0.306948 7.55858e-05 0.486779 
0.061 0.306974 9.50444e-05 0.486754 0.306948 7.55858e-05 0.486779 
0.062 0.306976 9.7384e-05 0.486754 0.306948 7.55858e-05 0.486779 
0.063 0.306976 9.64353e-05 0.486756 0.306948 7.55858e-05 0.486779 
0.064 0.306978 9.865e-05 0.486758 0.306948 7.55858e-05 0.486779 
