time x y z x_d y_d z_d 
0 0.306944 5.84073e-05 0.486766 0.306945 5.85982e-05 0.486764 
0.001 0.306943 6.02955e-05 0.486765 0.306945 5.85982e-05 0.486764 
0.002 0.306943 6.14924e-05 0.486766 0.306945 5.85982e-05 0.486764 
0.003 0.306942 5.86566e-05 0.486766 0.306945 5.85982e-05 0.486764 
0.004 0.306941 5.93286e-05 0.486765 0.306945 5.85982e-05 0.486764 
0.005 0.306941 5.97315e-05 0.486764 0.306945 5.85982e-05 0.486764 
0.006 0.306942 5.93451e-05 0.486762 0.306945 5.85982e-05 0.486764 
0.007 0.306942 6.23603e-05 0.486763 0.306945 5.85982e-05 0.486764 
0.008 0.306943 6.21693e-05 0.48676 0.306945 5.85982e-05 0.486764 
0.009 0.306944 6.26346e-05 0.486761 0.306945 5.85982e-05 0.486764 
0.01 0.306945 6.29932e-05 0.486762 0.306945 5.85982e-05 0.486764 
0.011 0.306946 6.40888e-05 0.48676 0.306945 5.85982e-05 0.486764 
0.012 0.306945 6.3607e-05 0.486758 0.306945 5.85982e-05 0.486764 
0.013 0.306945 6.44113e-05 0.486756 0.306945 5.85982e-05 0.486764 
0.014 0.306945 6.57315e-05 0.486756 0.306945 5.85982e-05 0.486764 
0.015 0.306946 6.48714e-05 0.486756 0.306945 5.85982e-05 0.486764 
0.016 0.306946 6.36461e-05 0.486755 0.306945 5.85982e-05 0.486764 
0.017 0.306945 6.26866e-05 0.486751 0.306945 5.85982e-05 0.486764 
0.018 0.306945 6.32869e-05 0.486752 0.306945 5.85982e-05 0.486764 
0.019 0.306945 6.33672e-05 0.486751 0.306945 5.85982e-05 0.486764 
0.02 0.306946 6.49876e-05 0.486751 0.306945 5.85982e-05 0.486764 
0.021 0.306946 6.58599e-05 0.486752 0.306945 5.85982e-05 0.486764 
0.022 0.306946 6.34774e-05 0.48675 0.306945 5.85982e-05 0.486764 
0.023 0.306946 6.62569e-05 0.48675 0.306945 5.85982e-05 0.486764 
0.024 0.306945 6.73564e-05 0.486748 0.306945 5.85982e-05 0.486764 
0.025 0.306947 6.65425e-05 0.486748 0.306945 5.85982e-05 0.486764 
0.026 0.306946 6.64251e-05 0.486748 0.306945 5.85982e-05 0.486764 
0.027 0.306946 6.85656e-05 0.486749 0.306945 5.85982e-05 0.486764 
0.028 0.306947 6.8876e-05 0.486747 0.306945 5.85982e-05 0.486764 
0.029 0.306948 6.94685e-05 0.486745 0.306945 5.85982e-05 0.486764 
0.03 0.306947 6.89399e-05 0.486743 0.306945 5.85982e-05 0.486764 
0.031 0.306949 6.89007e-05 0.486745 0.306945 5.85982e-05 0.486764 
0.032 0.30695 6.63472e-05 0.486745 0.306945 5.85982e-05 0.486764 
0.033 0.306951 7.07281e-05 0.486743 0.306945 5.85982e-05 0.486764 
0.034 0.306951 7.22205e-05 0.486743 0.306945 5.85982e-05 0.486764 
0.035 0.306952 7.0945e-05 0.486743 0.306945 5.85982e-05 0.486764 
0.036 0.306952 7.09382e-05 0.48674 0.306945 5.85982e-05 0.486764 
0.037 0.306951 7.04763e-05 0.486739 0.306945 5.85982e-05 0.486764 
0.038 0.306953 7.28088e-05 0.486742 0.306945 5.85982e-05 0.486764 
0.039 0.306952 7.2371e-05 0.486739 0.306945 5.85982e-05 0.486764 
0.04 0.306955 7.26121e-05 0.486739 0.306945 5.85982e-05 0.486764 
0.041 0.306953 7.22086e-05 0.486739 0.306945 5.85982e-05 0.486764 
0.042 0.306953 7.01079e-05 0.486741 0.306945 5.85982e-05 0.486764 
0.043 0.306955 7.4594e-05 0.48674 0.306945 5.85982e-05 0.486764 
0.044 0.306955 7.11309e-05 0.48674 0.306945 5.85982e-05 0.486764 
0.045 0.306955 7.25053e-05 0.486737 0.306945 5.85982e-05 0.486764 
0.046 0.306954 7.32063e-05 0.48674 0.306945 5.85982e-05 0.486764 
0.047 0.306956 7.43302e-05 0.486737 0.306945 5.85982e-05 0.486764 
0.048 0.306955 7.36749e-05 0.486737 0.306945 5.85982e-05 0.486764 
0.049 0.306957 7.38738e-05 0.486737 0.306945 5.85982e-05 0.486764 
0.05 0.306957 7.52456e-05 0.48674 0.306945 5.85982e-05 0.486764 
0.051 0.306957 7.56705e-05 0.486737 0.306945 5.85982e-05 0.486764 
0.052 0.306957 7.7044e-05 0.486738 0.306945 5.85982e-05 0.486764 
0.053 0.306958 7.52149e-05 0.486737 0.306945 5.85982e-05 0.486764 
0.054 0.306958 7.54408e-05 0.486736 0.306945 5.85982e-05 0.486764 
0.055 0.306958 7.66744e-05 0.486737 0.306945 5.85982e-05 0.486764 
0.056 0.306959 7.84149e-05 0.486734 0.306945 5.85982e-05 0.486764 
0.057 0.30696 7.51604e-05 0.486736 0.306945 5.85982e-05 0.486764 
0.058 0.30696 7.60861e-05 0.486735 0.306945 5.85982e-05 0.486764 
0.059 0.306962 7.52978e-05 0.486735 0.306945 5.85982e-05 0.486764 
0.06 0.306961 7.58064e-05 0.486737 0.306945 5.85982e-05 0.486764 
0.061 0.306962 7.42084e-05 0.486736 0.306945 5.85982e-05 0.486764 
0.062 0.306962 7.70259e-05 0.486735 0.306945 5.85982e-05 0.486764 
0.063 0.306963 7.59158e-05 0.486737 0.306945 5.85982e-05 0.486764 
0.064 0.306962 7.6941e-05 0.486735 0.306945 5.85982e-05 0.486764 
0.065 0.306965 7.72176e-05 0.486735 0.306945 5.85982e-05 0.486764 
0.066 0.306965 7.68938e-05 0.486737 0.306945 5.85982e-05 0.486764 
0.067 0.306964 7.47469e-05 0.486733 0.306945 5.85982e-05 0.486764 
0.068 0.306964 7.76293e-05 0.486737 0.306945 5.85982e-05 0.486764 
0.069 0.306964 7.71733e-05 0.486734 0.306945 5.85982e-05 0.486764 
0.07 0.306965 7.87417e-05 0.486738 0.306945 5.85982e-05 0.486764 
0.071 0.306966 7.61035e-05 0.486738 0.306945 5.85982e-05 0.486764 
0.072 0.306965 7.83285e-05 0.486735 0.306945 5.85982e-05 0.486764 
0.073 0.306966 7.86607e-05 0.486734 0.306945 5.85982e-05 0.486764 
0.074 0.306966 7.99566e-05 0.486739 0.306945 5.85982e-05 0.486764 
0.075 0.306967 7.94264e-05 0.486734 0.306945 5.85982e-05 0.486764 
