t_model t_dynamics t_filter t_traj t_qp_control t_total
47 37 0 0 95 182
10 15 0 0 26 53
8 16 0 0 25 51
10 17 0 0 25 54
9 16 0 0 22 48
9 16 0 0 22 48
8 14 0 0 19 43
12 15 0 0 21 50
35 22 0 0 32 90
18 12 0 0 20 52
13 10 0 0 15 40
27 23 0 0 41 95
14 10 0 0 16 41
14 11 0 0 17 45
6 10 0 0 13 31
7 12 0 0 16 36
7 13 0 0 16 38
8 14 0 0 20 44
8 14 0 0 18 42
8 14 0 0 20 43
17 14 0 0 22 56
16 13 0 0 20 51
11 10 0 0 14 36
13 11 0 0 17 42
11 9 0 0 15 36
12 18 0 0 24 56
7 10 0 0 14 32
12 12 0 0 20 46
11 12 0 0 18 42
8 13 0 0 19 42
7 12 0 0 18 39
10 14 0 0 21 47
16 14 0 0 27 58
13 12 0 0 18 45
11 11 0 0 17 40
13 10 0 0 14 39
8 8 0 0 15 33
9 13 0 0 17 40
13 20 0 0 26 61
10 10 0 0 16 38
7 9 0 0 12 29
6 11 0 0 13 31
7 12 0 0 15 34
7 13 0 0 16 38
7 13 0 0 16 37
7 13 0 0 16 38
7 11 0 0 14 34
8 14 0 0 16 40
15 12 0 0 20 48
13 11 0 0 17 42
7 9 0 0 13 31
22 21 0 0 35 80
16 19 0 0 27 64
6 9 0 0 12 28
6 11 0 0 13 31
7 12 0 0 15 34
7 13 0 0 16 37
6 12 0 0 15 35
6 11 0 0 13 32
6 10 0 0 14 31
6 10 0 0 12 28
5 8 0 0 10 25
10 18 0 0 22 52
5 8 0 0 12 26
6 11 0 0 16 35
6 10 0 0 13 30
6 11 0 0 14 32
7 13 0 0 18 40
9 16 0 0 25 52
11 17 0 0 27 56
11 17 0 0 26 56
12 20 0 0 29 62
11 19 0 0 25 57
11 18 0 0 27 58
41 24 0 0 42 109
21 21 0 0 33 76
14 19 0 0 25 60
12 18 0 0 25 57
11 19 0 0 25 56
12 16 0 0 23 52
9 14 0 0 21 46
10 17 0 0 25 53
11 17 0 0 27 57
10 16 0 0 23 51
10 14 0 0 19 44
8 12 0 0 16 37
9 12 0 0 18 40
10 11 0 0 17 40
15 12 0 0 19 48
24 21 0 0 38 85
13 15 0 0 16 47
5 8 0 0 13 28
5 9 0 0 11 26
5 9 0 0 12 27
6 11 0 0 16 36
8 13 0 0 21 43
11 14 0 0 23 50
15 14 0 0 24 55
13 12 0 0 20 46
9 10 0 0 17 38
12 11 0 0 20 45
9 9 0 0 14 34
6 7 0 0 11 25
4 7 0 0 10 22
4 8 0 0 10 23
5 9 0 0 11 26
5 9 0 0 11 27
6 11 0 0 17 36
9 13 0 0 22 46
9 12 0 0 19 42
14 14 0 0 21 50
17 11 0 0 20 50
9 12 0 1 15 39
8 10 0 0 15 34
7 8 0 0 12 28
6 7 0 0 10 24
5 9 0 0 14 30
4 7 0 0 10 23
4 8 0 0 10 23
5 9 0 0 12 27
6 10 0 0 15 33
6 10 0 0 13 30
6 11 0 0 14 32
14 15 0 0 24 54
20 17 0 0 28 66
17 16 0 0 26 60
30 23 0 0 37 92
16 17 0 0 27 62
9 14 0 0 19 43
12 20 0 0 26 59
19 20 0 0 29 69
16 20 0 0 29 67
11 16 0 0 20 48
9 16 0 0 20 46
9 16 0 0 20 46
11 18 0 0 25 56
17 22 0 0 33 73
25 23 0 0 38 87
24 23 0 0 35 85
22 21 0 0 36 81
19 20 0 0 31 72
11 16 0 0 20 49
9 16 0 0 20 47
20 23 0 0 37 83
22 23 0 0 33 80
17 18 0 0 28 64
13 19 0 0 24 58
11 18 0 0 24 55
16 21 0 0 31 70
25 23 0 0 37 88
25 23 0 0 36 86
10 16 0 0 22 49
9 16 0 0 20 47
8 14 0 0 18 42
15 21 0 0 29 66
12 14 0 0 23 51
16 14 0 0 22 56
7 10 0 0 15 33
6 11 0 0 13 31
7 12 0 0 15 35
8 13 0 0 16 40
9 14 0 0 18 43
18 15 0 0 26 61
11 11 0 0 18 42
5 9 0 0 12 28
9 10 0 0 25 44
8 9 0 0 13 32
9 10 0 0 16 37
5 9 0 0 12 28
6 10 0 0 13 29
7 12 0 0 17 37
7 13 0 0 16 38
8 14 0 0 18 41
8 15 0 0 20 45
9 16 0 0 20 45
24 24 0 0 38 89
25 24 0 0 37 87
18 20 0 0 29 68
10 18 0 0 22 52
13 19 0 0 27 61
10 18 0 0 24 54
23 23 0 0 35 83
23 22 0 0 34 81
18 21 0 0 33 74
14 19 0 0 24 59
11 16 0 0 20 48
10 18 0 0 22 52
14 21 0 0 29 66
25 24 0 0 37 88
25 23 0 0 37 88
10 16 0 0 20 47
9 15 0 0 21 46
9 16 0 0 20 47
13 20 0 0 28 63
18 19 0 0 30 69
23 19 0 0 35 79
10 16 0 0 22 49
9 14 0 0 19 43
8 14 0 0 18 42
11 17 0 0 23 52
16 21 0 0 29 68
24 21 0 0 34 81
23 20 0 0 30 75
8 14 0 0 18 42
9 15 0 0 20 45
9 15 0 0 19 45
21 19 0 0 25 68
13 16 0 0 21 52
12 12 0 0 19 44
7 12 0 0 14 34
7 11 0 0 14 33
9 15 0 0 20 44
8 14 0 0 18 42
9 16 0 0 19 45
20 20 0 0 29 71
22 19 0 0 31 73
15 15 0 0 24 55
7 12 0 0 15 34
6 11 0 0 14 32
14 21 0 0 28 64
10 11 0 0 16 38
11 12 0 0 18 41
6 11 0 0 14 32
7 13 0 0 17 39
9 14 0 0 18 42
9 14 0 0 18 43
22 20 0 0 32 76
27 24 0 0 39 92
24 21 0 0 31 78
10 14 0 0 18 45
9 15 0 0 20 45
11 19 0 0 27 59
24 22 0 0 34 83
25 21 0 0 35 83
20 20 0 0 37 79
9 16 0 0 29 56
8 16 0 0 21 47
11 18 0 0 26 56
10 18 0 0 23 52
10 18 0 0 25 56
10 18 0 0 23 53
10 18 0 0 23 53
10 18 0 0 22 51
11 18 0 0 25 55
16 16 0 0 27 62
8 14 0 0 18 41
7 13 0 0 16 37
7 12 0 0 16 35
6 11 0 0 14 32
5 10 0 0 12 29
11 11 0 0 18 42
5 8 0 0 11 24
9 9 0 0 18 38
14 12 0 0 19 46
6 11 0 0 15 34
11 19 0 0 25 57
12 14 0 0 22 49
13 15 0 0 22 51
10 14 0 0 18 43
9 16 0 0 21 48
10 18 0 0 22 52
10 18 0 0 22 52
10 18 0 0 22 51
11 18 0 0 24 54
10 18 0 0 23 53
10 18 0 0 22 52
25 23 0 0 36 86
28 24 0 0 41 95
16 20 0 0 26 65
10 18 0 0 25 55
10 18 0 0 22 52
11 19 0 0 26 57
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 22 52
