time x y z x_d y_d z_d 
0 0.306942 6.0854e-05 0.486762 0.306942 5.98342e-05 0.486761 
0.001 0.306944 6.0854e-05 0.486763 0.306942 5.98342e-05 0.486761 
0.002 0.306942 6.19745e-05 0.486761 0.306942 5.98342e-05 0.486761 
0.003 0.306941 5.97055e-05 0.486761 0.306942 5.98342e-05 0.486761 
0.004 0.306941 6.1468e-05 0.48676 0.306942 5.98342e-05 0.486761 
0.005 0.306941 6.18753e-05 0.48676 0.306942 5.98342e-05 0.486761 
0.006 0.306941 6.16828e-05 0.486761 0.306942 5.98342e-05 0.486761 
0.007 0.306941 6.08964e-05 0.486756 0.306942 5.98342e-05 0.486761 
0.008 0.306942 6.44252e-05 0.48676 0.306942 5.98342e-05 0.486761 
0.009 0.306942 6.13011e-05 0.486756 0.306942 5.98342e-05 0.486761 
0.01 0.306944 6.36523e-05 0.486756 0.306942 5.98342e-05 0.486761 
0.011 0.306944 6.38962e-05 0.486754 0.306942 5.98342e-05 0.486761 
0.012 0.306944 6.37396e-05 0.486754 0.306942 5.98342e-05 0.486761 
0.013 0.306943 6.3195e-05 0.486751 0.306942 5.98342e-05 0.486761 
0.014 0.306943 6.44127e-05 0.486749 0.306942 5.98342e-05 0.486761 
0.015 0.306942 6.29502e-05 0.486749 0.306942 5.98342e-05 0.486761 
0.016 0.306942 6.48035e-05 0.486748 0.306942 5.98342e-05 0.486761 
0.017 0.306941 6.5787e-05 0.486748 0.306942 5.98342e-05 0.486761 
0.018 0.306942 6.50096e-05 0.486747 0.306942 5.98342e-05 0.486761 
0.019 0.306942 6.4549e-05 0.486744 0.306942 5.98342e-05 0.486761 
0.02 0.306942 6.47646e-05 0.486746 0.306942 5.98342e-05 0.486761 
0.021 0.306942 6.48968e-05 0.486745 0.306942 5.98342e-05 0.486761 
0.022 0.306943 6.49418e-05 0.486744 0.306942 5.98342e-05 0.486761 
0.023 0.306945 6.5127e-05 0.486743 0.306942 5.98342e-05 0.486761 
0.024 0.306944 6.60466e-05 0.486742 0.306942 5.98342e-05 0.486761 
0.025 0.306944 6.56737e-05 0.486741 0.306942 5.98342e-05 0.486761 
0.026 0.306945 6.71105e-05 0.486742 0.306942 5.98342e-05 0.486761 
0.027 0.306946 6.86e-05 0.486743 0.306942 5.98342e-05 0.486761 
0.028 0.306946 6.91729e-05 0.48674 0.306942 5.98342e-05 0.486761 
0.029 0.306947 6.76739e-05 0.48674 0.306942 5.98342e-05 0.486761 
0.03 0.306946 6.83576e-05 0.486741 0.306942 5.98342e-05 0.486761 
0.031 0.306948 6.67584e-05 0.486737 0.306942 5.98342e-05 0.486761 
0.032 0.306949 6.9963e-05 0.486739 0.306942 5.98342e-05 0.486761 
0.033 0.306949 6.8229e-05 0.486738 0.306942 5.98342e-05 0.486761 
0.034 0.30695 6.66986e-05 0.486737 0.306942 5.98342e-05 0.486761 
0.035 0.306951 6.84147e-05 0.486734 0.306942 5.98342e-05 0.486761 
0.036 0.306952 6.87667e-05 0.486734 0.306942 5.98342e-05 0.486761 
0.037 0.306952 6.95714e-05 0.486737 0.306942 5.98342e-05 0.486761 
0.038 0.306953 6.78026e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.039 0.306955 6.98428e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.04 0.306954 6.93832e-05 0.486733 0.306942 5.98342e-05 0.486761 
0.041 0.306956 6.92825e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.042 0.306956 6.84758e-05 0.486737 0.306942 5.98342e-05 0.486761 
0.043 0.306956 7.12701e-05 0.486733 0.306942 5.98342e-05 0.486761 
0.044 0.306957 6.84731e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.045 0.306958 7.00463e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.046 0.306958 7.01283e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.047 0.306958 7.11717e-05 0.486736 0.306942 5.98342e-05 0.486761 
0.048 0.306958 6.91538e-05 0.486737 0.306942 5.98342e-05 0.486761 
0.049 0.306959 7.02205e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.05 0.306959 6.95361e-05 0.486734 0.306942 5.98342e-05 0.486761 
0.051 0.306959 7.02765e-05 0.486736 0.306942 5.98342e-05 0.486761 
0.052 0.306959 7.06987e-05 0.486732 0.306942 5.98342e-05 0.486761 
0.053 0.306961 7.03218e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.054 0.306959 6.85266e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.055 0.30696 6.97981e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.056 0.306961 7.11044e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.057 0.306962 7.0419e-05 0.486737 0.306942 5.98342e-05 0.486761 
0.058 0.306962 7.04927e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.059 0.306963 6.9748e-05 0.486733 0.306942 5.98342e-05 0.486761 
0.06 0.306963 7.10044e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.061 0.306965 7.10544e-05 0.486736 0.306942 5.98342e-05 0.486761 
0.062 0.306965 7.31204e-05 0.486733 0.306942 5.98342e-05 0.486761 
0.063 0.306967 6.99782e-05 0.486734 0.306942 5.98342e-05 0.486761 
0.064 0.306967 7.14566e-05 0.486732 0.306942 5.98342e-05 0.486761 
0.065 0.306967 6.99632e-05 0.486732 0.306942 5.98342e-05 0.486761 
0.066 0.306968 7.29188e-05 0.486734 0.306942 5.98342e-05 0.486761 
0.067 0.306969 7.07467e-05 0.486736 0.306942 5.98342e-05 0.486761 
0.068 0.30697 7.00247e-05 0.486733 0.306942 5.98342e-05 0.486761 
0.069 0.306971 6.89763e-05 0.486732 0.306942 5.98342e-05 0.486761 
0.07 0.306972 7.09985e-05 0.486733 0.306942 5.98342e-05 0.486761 
0.071 0.306973 7.1856e-05 0.486733 0.306942 5.98342e-05 0.486761 
0.072 0.306973 7.24088e-05 0.486738 0.306942 5.98342e-05 0.486761 
0.073 0.306973 7.03419e-05 0.486737 0.306942 5.98342e-05 0.486761 
0.074 0.306974 7.23924e-05 0.486738 0.306942 5.98342e-05 0.486761 
0.075 0.306976 7.22496e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.076 0.306976 7.07452e-05 0.486737 0.306942 5.98342e-05 0.486761 
0.077 0.306976 7.24999e-05 0.486739 0.306942 5.98342e-05 0.486761 
0.078 0.306977 6.99546e-05 0.486735 0.306942 5.98342e-05 0.486761 
0.079 0.306979 7.14624e-05 0.48674 0.306942 5.98342e-05 0.486761 
0.08 0.306979 7.23481e-05 0.486737 0.306942 5.98342e-05 0.486761 
0.081 0.306981 7.20061e-05 0.486738 0.306942 5.98342e-05 0.486761 
0.082 0.306982 7.33449e-05 0.486737 0.306942 5.98342e-05 0.486761 
0.083 0.306983 7.1993e-05 0.48674 0.306942 5.98342e-05 0.486761 
0.084 0.306984 7.16433e-05 0.486741 0.306942 5.98342e-05 0.486761 
0.085 0.306987 7.47009e-05 0.486741 0.306942 5.98342e-05 0.486761 
0.086 0.306988 7.23666e-05 0.486739 0.306942 5.98342e-05 0.486761 
0.087 0.306988 7.37103e-05 0.486742 0.306942 5.98342e-05 0.486761 
0.088 0.306989 7.1761e-05 0.486736 0.306942 5.98342e-05 0.486761 
0.089 0.30699 7.16441e-05 0.486736 0.306942 5.98342e-05 0.486761 
0.09 0.306993 7.40821e-05 0.486739 0.306942 5.98342e-05 0.486761 
0.091 0.306994 7.24781e-05 0.48674 0.306942 5.98342e-05 0.486761 
0.092 0.306994 7.19457e-05 0.486739 0.306942 5.98342e-05 0.486761 
