t_model t_dynamics t_filter t_traj t_qp_control t_total
39 35 0 0 71 146
14 12 0 0 18 46
13 16 0 0 23 54
10 20 0 0 27 58
11 18 0 0 25 56
6 11 0 0 14 33
7 12 0 0 17 37
8 13 0 0 18 40
8 14 0 0 19 43
8 14 0 0 18 42
8 13 0 0 18 40
6 11 0 0 15 33
6 10 0 0 13 30
5 10 0 0 12 28
5 8 0 0 11 25
10 18 0 0 24 54
10 18 0 0 22 52
6 9 0 0 11 28
6 11 0 0 14 32
7 12 0 0 14 34
7 13 0 0 16 37
8 14 0 0 18 41
8 13 0 0 17 40
7 12 0 0 16 36
6 10 0 0 13 30
5 9 0 0 12 28
5 8 0 0 11 25
5 9 0 0 11 26
6 10 0 0 12 28
7 11 0 0 14 32
7 12 0 0 16 36
11 18 0 0 23 54
11 18 0 0 22 52
12 18 0 0 23 55
8 13 0 0 18 40
7 12 0 0 15 35
6 11 0 0 14 32
6 11 0 0 14 32
6 9 0 0 14 30
5 8 0 0 10 24
5 8 0 0 10 25
11 18 0 0 23 53
10 18 0 0 24 54
5 9 0 0 11 26
4 8 0 0 10 24
4 8 0 0 10 24
5 9 0 0 12 27
6 10 0 0 13 30
6 11 0 0 14 32
6 10 0 0 12 29
5 9 0 0 12 28
5 8 0 0 10 24
5 9 0 0 11 26
4 8 0 0 10 23
4 7 0 0 9 21
4 8 0 0 10 23
7 12 0 0 15 35
10 18 0 0 23 53
11 18 0 0 25 56
10 18 0 0 23 53
10 18 0 0 22 52
6 11 0 0 13 31
6 10 0 0 13 31
5 9 0 0 11 26
5 9 0 0 12 28
5 8 0 0 10 25
5 8 0 0 11 24
5 7 0 0 9 23
11 18 0 0 22 52
10 18 0 0 22 52
5 8 0 0 10 24
4 7 0 0 9 21
4 8 0 0 10 23
5 8 0 0 11 25
6 10 0 0 13 30
7 11 0 0 14 33
5 9 0 0 12 27
5 9 0 0 10 26
5 9 0 0 12 27
6 10 0 0 13 30
10 18 0 0 22 52
6 11 0 0 13 32
6 10 0 0 12 29
6 10 0 0 12 29
6 11 0 0 13 31
7 11 0 0 14 34
7 13 0 0 18 40
8 14 0 0 19 42
9 16 0 0 20 46
8 14 0 0 18 41
8 13 0 0 17 39
7 12 0 0 15 35
6 10 0 0 13 30
10 18 0 0 22 52
10 18 0 0 23 53
11 18 0 0 22 53
7 12 0 0 14 34
7 13 0 0 16 37
7 13 0 0 16 38
8 14 0 0 17 41
8 14 0 0 18 41
7 13 0 0 16 38
7 12 0 0 16 36
6 11 0 0 14 32
5 10 0 0 12 28
5 9 0 0 11 27
11 18 0 0 24 55
10 18 0 0 23 52
10 18 0 0 23 52
7 11 0 0 15 34
7 13 0 0 16 38
8 14 0 0 17 41
8 14 0 0 17 41
8 14 0 0 17 41
8 14 0 0 18 41
6 11 0 0 14 32
6 10 0 0 13 30
5 9 0 0 11 26
5 9 0 0 12 27
11 18 0 0 23 54
6 10 0 0 13 30
6 11 0 0 13 31
7 12 0 0 15 35
8 14 0 0 20 42
8 14 0 0 18 41
9 16 0 0 20 45
8 15 0 0 19 43
7 13 0 0 16 38
7 12 0 0 15 35
6 10 0 0 13 30
5 9 0 0 12 27
5 9 0 0 11 27
10 18 0 0 22 51
11 17 0 0 22 52
6 11 0 0 13 32
6 12 0 0 15 34
7 13 0 0 16 37
8 14 0 0 17 41
9 16 0 0 21 48
8 14 0 0 18 42
7 13 0 0 16 38
7 12 0 0 14 34
6 11 0 0 15 33
5 9 0 0 12 27
5 9 0 0 11 26
11 18 0 0 22 52
11 18 0 0 24 55
6 11 0 0 14 32
7 12 0 0 15 34
7 13 0 0 16 37
8 14 0 0 18 42
9 16 0 0 20 46
8 14 0 0 18 41
7 13 0 0 16 38
7 12 0 0 17 37
6 10 0 0 13 30
5 9 0 0 12 27
5 8 0 0 10 25
10 18 0 0 24 54
10 18 0 0 23 52
6 10 0 0 13 29
7 12 0 0 14 34
7 13 0 0 16 37
8 14 0 0 18 41
9 15 0 0 19 45
8 14 0 0 18 41
7 14 0 0 17 39
7 12 0 0 15 35
6 11 0 0 13 32
6 9 0 0 12 28
5 8 0 0 11 26
10 18 0 0 23 53
11 18 0 0 22 52
6 10 0 0 12 29
7 12 0 0 16 36
7 13 0 0 16 37
8 14 0 0 17 41
8 14 0 0 17 40
8 14 0 0 19 43
