time x y z x_d y_d z_d error_x error_y error_z
0 0.306942 4.05207e-05 0.486775 0.306942 3.97515e-05 0.486778 2.23136e-08 7.6917e-07 -3.00043e-06
0.001 0.306942 4.16417e-05 0.486776 0.306942 3.97515e-05 0.486778 6.48755e-08 1.8902e-06 -1.95147e-06
0.002 0.306942 4.04764e-05 0.486777 0.306942 3.97515e-05 0.486778 3.72958e-07 7.24894e-07 -1.27219e-06
0.003 0.306942 4.13019e-05 0.486779 0.306942 3.97515e-05 0.486778 -4.69691e-07 1.5504e-06 1.50723e-06
0.004 0.30694 4.1664e-05 0.486775 0.306942 3.97515e-05 0.486778 -2.38469e-06 1.91254e-06 -3.2627e-06
0.005 0.306941 4.2015e-05 0.486774 0.306942 3.97515e-05 0.486778 -1.43701e-06 2.26354e-06 -4.04124e-06
0.006 0.306941 4.18713e-05 0.486773 0.306942 3.97515e-05 0.486778 -1.04006e-06 2.11986e-06 -4.49211e-06
0.007 0.306942 4.37826e-05 0.486773 0.306942 3.97515e-05 0.486778 -5.05613e-07 4.03112e-06 -4.87687e-06
0.008 0.306943 4.33914e-05 0.486771 0.306942 3.97515e-05 0.486778 8.04462e-07 3.63991e-06 -7.00739e-06
0.009 0.306943 4.41424e-05 0.486771 0.306942 3.97515e-05 0.486778 9.90501e-07 4.3909e-06 -6.63836e-06
0.01 0.306944 4.25551e-05 0.486769 0.306942 3.97515e-05 0.486778 1.66457e-06 2.80364e-06 -8.85566e-06
0.011 0.306944 4.496e-05 0.486771 0.306942 3.97515e-05 0.486778 1.68689e-06 5.20849e-06 -6.60161e-06
0.012 0.306944 4.29123e-05 0.48677 0.306942 3.97515e-05 0.486778 1.8742e-06 3.16085e-06 -8.37716e-06
0.013 0.306944 4.38226e-05 0.486768 0.306942 3.97515e-05 0.486778 1.9938e-06 4.07111e-06 -1.00223e-05
0.014 0.306944 4.23878e-05 0.486767 0.306942 3.97515e-05 0.486778 2.16882e-06 2.63628e-06 -1.10345e-05
0.015 0.306944 4.50724e-05 0.486768 0.306942 3.97515e-05 0.486778 2.01962e-06 5.32096e-06 -1.041e-05
0.016 0.306944 4.51488e-05 0.486764 0.306942 3.97515e-05 0.486778 2.22045e-06 5.39731e-06 -1.43898e-05
0.017 0.306943 4.68697e-05 0.486764 0.306942 3.97515e-05 0.486778 9.70697e-07 7.11823e-06 -1.40956e-05
0.018 0.306944 4.76277e-05 0.486763 0.306942 3.97515e-05 0.486778 1.58717e-06 7.87625e-06 -1.53853e-05
0.019 0.306944 4.67439e-05 0.486763 0.306942 3.97515e-05 0.486778 1.74703e-06 6.99242e-06 -1.54449e-05
0.02 0.306943 4.80727e-05 0.486759 0.306942 3.97515e-05 0.486778 6.80964e-07 8.32117e-06 -1.88855e-05
0.021 0.306944 4.701e-05 0.486761 0.306942 3.97515e-05 0.486778 2.3446e-06 7.25857e-06 -1.68612e-05
0.022 0.306944 4.34939e-05 0.486758 0.306942 3.97515e-05 0.486778 1.99639e-06 3.7424e-06 -1.95546e-05
0.023 0.306945 4.73395e-05 0.48676 0.306942 3.97515e-05 0.486778 3.23252e-06 7.58805e-06 -1.78507e-05
0.024 0.306946 4.55213e-05 0.48676 0.306942 3.97515e-05 0.486778 4.24631e-06 5.76983e-06 -1.77287e-05
0.025 0.306946 4.70037e-05 0.486761 0.306942 3.97515e-05 0.486778 4.40093e-06 7.25224e-06 -1.73208e-05
0.026 0.306947 4.50759e-05 0.486758 0.306942 3.97515e-05 0.486778 4.69054e-06 5.32445e-06 -2.02723e-05
0.027 0.306947 4.60045e-05 0.486757 0.306942 3.97515e-05 0.486778 4.94204e-06 6.25303e-06 -2.04929e-05
0.028 0.306948 4.84456e-05 0.486756 0.306942 3.97515e-05 0.486778 6.23434e-06 8.69413e-06 -2.16428e-05
0.029 0.306948 4.56619e-05 0.486755 0.306942 3.97515e-05 0.486778 5.75497e-06 5.91039e-06 -2.2582e-05
0.03 0.306949 4.86619e-05 0.486756 0.306942 3.97515e-05 0.486778 7.44719e-06 8.91042e-06 -2.17071e-05
0.031 0.30695 4.87166e-05 0.486756 0.306942 3.97515e-05 0.486778 7.7674e-06 8.96513e-06 -2.23834e-05
0.032 0.306949 4.85986e-05 0.486754 0.306942 3.97515e-05 0.486778 7.42755e-06 8.84716e-06 -2.39025e-05
0.033 0.306952 4.91991e-05 0.486753 0.306942 3.97515e-05 0.486778 9.79658e-06 9.44758e-06 -2.54323e-05
0.034 0.306952 4.89586e-05 0.486753 0.306942 3.97515e-05 0.486778 1.02171e-05 9.20717e-06 -2.47267e-05
0.035 0.306951 4.94337e-05 0.486751 0.306942 3.97515e-05 0.486778 8.71669e-06 9.68218e-06 -2.68946e-05
0.036 0.306953 5.06563e-05 0.486753 0.306942 3.97515e-05 0.486778 1.11841e-05 1.09048e-05 -2.50036e-05
0.037 0.306954 5.21486e-05 0.486751 0.306942 3.97515e-05 0.486778 1.1638e-05 1.23971e-05 -2.67656e-05
0.038 0.306955 4.97665e-05 0.486752 0.306942 3.97515e-05 0.486778 1.26974e-05 1.0015e-05 -2.6372e-05
0.039 0.306955 4.79267e-05 0.48675 0.306942 3.97515e-05 0.486778 1.33961e-05 8.17518e-06 -2.82762e-05
0.04 0.306956 5.01105e-05 0.48675 0.306942 3.97515e-05 0.486778 1.35515e-05 1.0359e-05 -2.83418e-05
0.041 0.306957 5.29234e-05 0.486748 0.306942 3.97515e-05 0.486778 1.50812e-05 1.31719e-05 -2.99257e-05
0.042 0.306957 4.8698e-05 0.48675 0.306942 3.97515e-05 0.486778 1.50787e-05 8.94653e-06 -2.81176e-05
0.043 0.306957 5.02202e-05 0.486746 0.306942 3.97515e-05 0.486778 1.53515e-05 1.04688e-05 -3.233e-05
0.044 0.306958 5.2575e-05 0.486744 0.306942 3.97515e-05 0.486778 1.60774e-05 1.28235e-05 -3.42359e-05
0.045 0.306959 4.9497e-05 0.486743 0.306942 3.97515e-05 0.486778 1.6551e-05 9.74547e-06 -3.51243e-05
0.046 0.30696 5.0819e-05 0.486744 0.306942 3.97515e-05 0.486778 1.75867e-05 1.10675e-05 -3.40983e-05
0.047 0.30696 5.03852e-05 0.486743 0.306942 3.97515e-05 0.486778 1.79924e-05 1.06337e-05 -3.52843e-05
0.048 0.306962 5.07551e-05 0.486743 0.306942 3.97515e-05 0.486778 1.95904e-05 1.10036e-05 -3.53304e-05
0.049 0.306961 5.3693e-05 0.48674 0.306942 3.97515e-05 0.486778 1.91262e-05 1.39415e-05 -3.79012e-05
0.05 0.306962 5.10688e-05 0.48674 0.306942 3.97515e-05 0.486778 1.97445e-05 1.13173e-05 -3.79885e-05
0.051 0.306961 5.03018e-05 0.486739 0.306942 3.97515e-05 0.486778 1.88876e-05 1.05503e-05 -3.91658e-05
0.052 0.306962 4.99662e-05 0.486739 0.306942 3.97515e-05 0.486778 1.9779e-05 1.02148e-05 -3.85985e-05
0.053 0.306961 5.0534e-05 0.486742 0.306942 3.97515e-05 0.486778 1.93127e-05 1.07825e-05 -3.56393e-05
0.054 0.306961 5.21733e-05 0.486739 0.306942 3.97515e-05 0.486778 1.93165e-05 1.24218e-05 -3.87576e-05
0.055 0.306962 4.88292e-05 0.486741 0.306942 3.97515e-05 0.486778 1.97307e-05 9.0777e-06 -3.74e-05
0.056 0.306963 5.03861e-05 0.48674 0.306942 3.97515e-05 0.486778 2.04891e-05 1.06346e-05 -3.83762e-05
0.057 0.306963 5.10029e-05 0.486741 0.306942 3.97515e-05 0.486778 2.14266e-05 1.12514e-05 -3.67875e-05
0.058 0.306963 4.95376e-05 0.486737 0.306942 3.97515e-05 0.486778 2.06436e-05 9.78609e-06 -4.06404e-05
0.059 0.306964 5.19846e-05 0.48674 0.306942 3.97515e-05 0.486778 2.15487e-05 1.22331e-05 -3.76897e-05
0.06 0.306963 4.93854e-05 0.486738 0.306942 3.97515e-05 0.486778 2.11807e-05 9.63387e-06 -4.0059e-05
0.061 0.306964 5.21504e-05 0.486738 0.306942 3.97515e-05 0.486778 2.17758e-05 1.23989e-05 -4.01606e-05
0.062 0.306964 5.15741e-05 0.486736 0.306942 3.97515e-05 0.486778 2.19547e-05 1.18226e-05 -4.18105e-05
0.063 0.306966 5.05113e-05 0.486738 0.306942 3.97515e-05 0.486778 2.39008e-05 1.07598e-05 -4.00182e-05
0.064 0.306966 4.94319e-05 0.486737 0.306942 3.97515e-05 0.486778 2.35261e-05 9.68038e-06 -4.09195e-05
0.065 0.306966 5.18684e-05 0.486735 0.306942 3.97515e-05 0.486778 2.39947e-05 1.21169e-05 -4.28939e-05
0.066 0.306967 5.18229e-05 0.486735 0.306942 3.97515e-05 0.486778 2.54712e-05 1.20714e-05 -4.31589e-05
0.067 0.306968 5.17498e-05 0.486735 0.306942 3.97515e-05 0.486778 2.58027e-05 1.19984e-05 -4.32442e-05
0.068 0.306969 4.97153e-05 0.486735 0.306942 3.97515e-05 0.486778 2.68206e-05 9.9638e-06 -4.28642e-05
0.069 0.30697 5.05201e-05 0.486732 0.306942 3.97515e-05 0.486778 2.77764e-05 1.07686e-05 -4.62713e-05
0.07 0.306969 5.13199e-05 0.486732 0.306942 3.97515e-05 0.486778 2.74667e-05 1.15684e-05 -4.63356e-05
0.071 0.306971 5.15283e-05 0.486733 0.306942 3.97515e-05 0.486778 2.84932e-05 1.17768e-05 -4.49308e-05
0.072 0.306972 5.15265e-05 0.486732 0.306942 3.97515e-05 0.486778 2.96669e-05 1.17751e-05 -4.54917e-05
0.073 0.306972 4.96409e-05 0.486729 0.306942 3.97515e-05 0.486778 2.95612e-05 9.88947e-06 -4.89368e-05
0.074 0.306973 5.04954e-05 0.486729 0.306942 3.97515e-05 0.486778 3.05315e-05 1.07439e-05 -4.88529e-05
0.075 0.306973 5.27215e-05 0.486726 0.306942 3.97515e-05 0.486778 3.13507e-05 1.297e-05 -5.15739e-05
0.076 0.306975 5.16528e-05 0.486731 0.306942 3.97515e-05 0.486778 3.24852e-05 1.19014e-05 -4.73044e-05
0.077 0.306975 5.10977e-05 0.486729 0.306942 3.97515e-05 0.486778 3.27639e-05 1.13462e-05 -4.93056e-05
0.078 0.306977 5.27349e-05 0.48673 0.306942 3.97515e-05 0.486778 3.47743e-05 1.29834e-05 -4.83998e-05
