O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z
0.999803 -0.0135397 -0.013808 0 -0.0132579 -0.999697 0.0202935 0 -0.0140788 -0.0201068 -0.999699 0 0.309327 -0.00357303 0.483326 1 -0.00631225 0.00119128 0.000228718 -0.000218152 -0.00135369 2.39254e-05 0.00204038 -5.19942e-05 0.00974085 0.000164683 0.000820315 -1.87731e-05 0.309328 -0.003573 0.483326 0 0 0 0 0 0 
0.999803 -0.0135387 -0.0138107 0 -0.0132568 -0.999696 0.0202984 0 -0.0140816 -0.0201117 -0.999699 0 0.309327 -0.00356957 0.483324 1 -0.00712385 -0.00326176 0.000815485 0.000581872 -0.00150449 7.34673e-06 0.00285412 -7.26944e-05 0.0136259 0.000230364 0.00114747 -2.62665e-05 0.309328 -0.003573 0.483326 8.9982e-09 0 -8.9982e-09 1.79946e-05 0 -1.79946e-05 
0.999803 -0.013545 -0.0138031 0 -0.0132634 -0.999696 0.0202946 0 -0.0140741 -0.0201079 -0.999699 0 0.309328 -0.00357165 0.483327 1 -0.0127175 0.000414886 0.00148312 -9.61666e-05 -0.00270615 5.37504e-05 0.00581831 -0.000148247 0.0277765 0.0004696 0.00233921 -5.35336e-05 0.309328 -0.003573 0.483326 3.59856e-08 0 -3.59856e-08 3.59784e-05 0 -3.59784e-05 
0.999803 -0.013541 -0.0138101 0 -0.0132593 -0.999697 0.0202929 0 -0.014081 -0.0201062 -0.999699 0 0.309326 -0.00357342 0.483325 1 -0.00146811 0.00310888 0.00106167 -0.000548452 -0.000307058 1.31687e-05 0.00227108 -5.78806e-05 0.0108422 0.000183306 0.000913063 -2.08955e-05 0.309328 -0.003573 0.483326 8.09514e-08 0 -8.09514e-08 5.39514e-05 0 -5.39514e-05 
0.999803 -0.013546 -0.0138133 0 -0.0132643 -0.999697 0.0202894 0 -0.0140842 -0.0201025 -0.999699 0 0.309326 -0.00357155 0.483324 1 0.000494191 0.00271795 0.000681742 -0.000522237 8.1375e-05 2.09337e-05 0.00153479 -3.9114e-05 0.00732718 0.000123872 0.000617042 -1.41191e-05 0.309328 -0.003573 0.483326 1.43885e-07 0 -1.43885e-07 7.19136e-05 0 -7.19136e-05 
0.999803 -0.0135374 -0.0138082 0 -0.0132557 -0.999697 0.0202931 0 -0.014079 -0.0201065 -0.999699 0 0.309326 -0.00357109 0.483326 1 0.0122463 -0.000569623 -0.000403285 0.000126556 0.00263255 -5.24512e-05 -0.00391334 9.97147e-05 -0.0186822 -0.000315846 -0.00157331 3.60052e-05 0.309328 -0.003573 0.483326 2.24775e-07 0 -2.24775e-07 8.9865e-05 0 -8.9865e-05 
0.999803 -0.0135293 -0.0138139 0 -0.0132475 -0.999697 0.0202924 0 -0.0140845 -0.0201058 -0.999699 0 0.309325 -0.00357049 0.483323 1 0.00686216 -0.000482397 0.00101188 0.00012069 0.00148346 -5.14644e-05 -0.000253008 6.44598e-06 -0.00120789 -2.04203e-05 -0.000101719 2.32788e-06 0.309328 -0.003573 0.483326 3.23611e-07 0 -3.23611e-07 0.000107806 0 -0.000107806 
0.999803 -0.01355 -0.0138153 0 -0.0132681 -0.999696 0.020291 0 -0.0140863 -0.020104 -0.999699 0 0.309326 -0.00357417 0.483321 1 -0.00477341 0.00292366 0.000943044 -0.00053335 -0.00100407 4.72432e-05 0.00275068 -7.01084e-05 0.0131324 0.00022202 0.00110589 -2.53072e-05 0.309328 -0.003573 0.483326 4.40383e-07 0 -4.40383e-07 0.000125736 0 -0.000125736 
0.999803 -0.0135379 -0.0138065 0 -0.0132562 -0.999696 0.0202964 0 -0.0140774 -0.0201098 -0.999699 0 0.309327 -0.003571 0.483323 1 0.0221842 -0.00271882 -0.00110326 0.000534516 0.00480793 -0.000103766 -0.00827144 0.000210727 -0.0394888 -0.000667618 -0.00332549 7.61138e-05 0.309328 -0.003573 0.483326 5.75079e-07 0 -5.75079e-07 0.000143655 0 -0.000143655 
0.999803 -0.0135361 -0.0138073 0 -0.0132544 -0.999697 0.0202953 0 -0.0140781 -0.0201087 -0.999699 0 0.309327 -0.00357019 0.483321 1 0.0105855 -0.00208863 0.000862272 0.00042543 0.0023585 -5.70125e-05 -0.00225404 5.74227e-05 -0.0107612 -0.000181931 -0.000906231 2.07409e-05 0.309328 -0.003573 0.483326 7.27688e-07 0 -7.27688e-07 0.000161563 0 -0.000161563 
0.999803 -0.0135383 -0.0138124 0 -0.0132564 -0.999696 0.0202973 0 -0.0140833 -0.0201106 -0.999699 0 0.309326 -0.00357241 0.483319 1 0.000605693 -0.00117259 0.00118926 0.000260745 0.00019237 -1.65233e-05 0.000981349 -2.50061e-05 0.00468524 7.92138e-05 0.000394548 -9.03126e-06 0.309328 -0.003573 0.483326 8.98201e-07 0 -8.98201e-07 0.00017946 0 -0.00017946 
0.999803 -0.0135495 -0.0138157 0 -0.0132676 -0.999696 0.0202919 0 -0.0140867 -0.020105 -0.999699 0 0.309325 -0.00357277 0.483319 1 -0.00585332 0.00261081 0.000268899 -0.000502649 -0.00127193 5.49288e-05 0.00212806 -5.4231e-05 0.0101599 0.000171765 0.000855572 -1.95798e-05 0.309328 -0.003573 0.483326 1.08661e-06 0 -1.08661e-06 0.000197347 0 -0.000197347 
