O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z error_x error_y error_z error_rx error_ry error_rz vel_x vel_y vel_z bodyRPY_Y bodyRPY_P bodyRPY_R bodyRPY_des_Y bodyRPY_des_P bodyRPY_des_R F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz
0.99999 -0.000203413 6.83428e-05 0 -0.000203431 -0.99999 0.000256472 0 6.82913e-05 -0.000256489 -1 0 0.306863 -3.823e-05 0.486926 1 -0.00529072 0.0211658 -0.0274585 -0.0039616 -0.00224703 3.21661e-05 -0.0014612 4.60881e-05 -0.00652384 -8.75152e-05 -0.000586516 1.44415e-07 0.306848 -4.39117e-05 0.486929 0 0 0 0 0 0 0.306863 -3.823e-05 0.486926 1.4326e-05 5.68166e-06 -2.9582e-06 -2.10789e-07 8.15768e-06 1.28569e-06 -3.11015e-05 -0.000352278 0.000398326 3.14134 6.82919e-05 0.000203433 3.14134 8.4607e-05 0.000206008 -0.00547455 0.0211671 -0.0274956 -0.0039626 0.00228808 -3.17344e-05 
0.99999 -0.000199202 7.08473e-05 0 -0.00019922 -0.99999 0.000258179 0 7.07966e-05 -0.000258195 -1 0 0.306862 -3.73072e-05 0.486927 1 0.0229692 -0.0169976 -0.0319376 0.00258134 0.00338343 -1.58754e-05 -0.00191423 6.0375e-05 -0.00854641 -0.00011465 -0.000768361 1.90218e-07 0.306848 -4.39117e-05 0.486929 8.9982e-09 0 -8.9982e-09 1.79946e-05 0 -1.79946e-05 0.306862 -3.73072e-05 0.486927 1.39404e-05 6.60448e-06 -2.18938e-06 -1.06421e-06 6.90559e-06 3.39115e-06 -0.000149262 0.000226046 0.000521824 3.14133 7.07973e-05 0.000199222 3.14134 8.4607e-05 0.000206008 0.022814 -0.0170029 -0.0319684 0.00258176 -0.00334882 1.5377e-05 
0.99999 -0.000203712 6.517e-05 0 -0.000203729 -0.99999 0.000258688 0 6.51179e-05 -0.000258703 -1 0 0.306862 -3.87568e-05 0.486924 1 0.0203465 0.00458254 0.098437 0.000269766 0.00786245 -4.35957e-06 0.00521949 -0.000164635 0.0233039 0.000312628 0.00209508 -5.21473e-07 0.306848 -4.39117e-05 0.486929 3.59856e-08 0 -3.59856e-08 3.59784e-05 0 -3.59784e-05 0.306862 -3.87568e-05 0.486924 1.40128e-05 5.1549e-06 -4.88527e-06 -1.31811e-06 9.74433e-06 1.13631e-06 -0.000311501 -5.73138e-05 -0.00142262 3.14133 6.51185e-05 0.000203731 3.14134 8.4607e-05 0.000206008 0.0201273 0.00457639 0.0983935 0.000270033 -0.0078136 2.50287e-06 
0.99999 -0.000192502 6.37054e-05 0 -0.000192518 -0.99999 0.000259436 0 6.36561e-05 -0.00025945 -1 0 0.306862 -3.85064e-05 0.486923 1 -0.0378604 0.000980579 0.00626883 -0.000220794 -0.0071749 -3.24628e-05 0.000427881 -1.34954e-05 0.00191042 2.56286e-05 0.000171749 -4.29142e-08 0.306848 -4.39117e-05 0.486929 8.09514e-08 0 -8.09514e-08 5.39514e-05 0 -5.39514e-05 0.306862 -3.85064e-05 0.486923 1.39245e-05 5.40527e-06 -6.03433e-06 -1.69201e-06 1.04767e-05 6.74139e-06 0.000289599 0.00012983 -0.000116813 3.14133 6.36567e-05 0.00019252 3.14134 8.4607e-05 0.000206008 -0.0380958 0.00097201 0.0062222 -0.000220018 0.00722742 3.4651e-05 
0.99999 -0.000190845 6.51011e-05 0 -0.000190862 -0.99999 0.000257696 0 6.50525e-05 -0.000257711 -1 0 0.306862 -3.81552e-05 0.486925 1 -0.051104 -0.0110895 -0.039269 0.00116174 -0.011648 -9.24568e-06 -0.00192544 6.07277e-05 -0.00859664 -0.000115322 -0.00077286 1.91609e-07 0.306848 -4.39117e-05 0.486929 1.43885e-07 0 -1.43885e-07 7.19136e-05 0 -7.19136e-05 0.306862 -3.81552e-05 0.486925 1.38453e-05 5.75655e-06 -4.1775e-06 -8.22127e-07 9.77866e-06 7.56951e-06 0.000425908 0.000455969 0.00052475 3.14133 6.50531e-05 0.000190864 3.14134 8.4607e-05 0.000206008 -0.0513241 -0.011092 -0.039313 0.00116144 0.0116971 1.26638e-05 
0.99999 -0.000206673 6.10222e-05 0 -0.000206689 -0.99999 0.000256714 0 6.09697e-05 -0.000256729 -1 0 0.306862 -3.98856e-05 0.486924 1 0.000405034 0.02544 0.0678422 -0.00392515 0.0027767 0.000134706 0.00365461 -0.000115283 0.0163171 0.000218894 0.00146693 -3.63125e-07 0.306848 -4.39117e-05 0.486929 2.24775e-07 0 -2.24775e-07 8.9865e-05 0 -8.9865e-05 0.306862 -3.98856e-05 0.486924 1.32065e-05 4.02608e-06 -5.56138e-06 -3.3095e-07 1.1818e-05 -3.44442e-07 -8.07356e-05 -0.000188781 -0.000996372 3.14134 6.09703e-05 0.000206691 3.14134 8.4607e-05 0.000206008 0.000138695 0.0254417 0.0677885 -0.00392661 -0.00271723 -0.000135541 
0.99999 -0.000190709 6.73276e-05 0 -0.000190726 -0.99999 0.000265991 0 6.72776e-05 -0.000266007 -1 0 0.306859 -3.72479e-05 0.486926 1 0.113962 -0.0271445 0.0537546 0.00567328 0.0252757 -9.76303e-05 0.00207833 -6.5528e-05 0.00927896 0.000124483 0.000834221 -2.13463e-07 0.306848 -4.39117e-05 0.486929 3.23611e-07 0 -3.23611e-07 0.000107806 0 -0.000107806 0.306859 -3.72479e-05 0.486926 1.10917e-05 6.66376e-06 -3.60891e-06 -4.97027e-06 8.6662e-06 7.63767e-06 -0.000712905 0.000107194 -0.000566834 3.14133 6.72782e-05 0.000190728 3.14134 8.4607e-05 0.000206008 0.113768 -0.0271773 0.0537185 0.0056789 -0.0252328 9.17021e-05 
0.99999 -0.000198939 5.22162e-05 0 -0.000198953 -0.99999 0.000266195 0 5.21638e-05 -0.000266208 -1 0 0.306861 -3.92539e-05 0.48692 1 -0.0611251 0.00980718 0.10906 -0.000266363 -0.00823153 -2.44134e-05 0.0062438 -0.000196891 0.0278782 0.000374014 0.00250621 -6.47361e-07 0.306848 -4.39117e-05 0.486929 4.40383e-07 0 -4.40383e-07 0.000125736 0 -0.000125736 0.306861 -3.92539e-05 0.48692 1.27213e-05 4.65785e-06 -9.03685e-06 -5.07025e-06 1.62219e-05 3.5222e-06 6.70105e-05 -0.000370031 -0.00170221 3.14133 5.21643e-05 0.000198955 3.14134 8.4607e-05 0.000206008 -0.0614888 0.00977622 0.10899 -0.000261909 0.0083124 2.69621e-05 
0.99999 -0.000203033 5.78689e-05 0 -0.000203049 -0.99999 0.000269664 0 5.78147e-05 -0.000269678 -1 0 0.30686 -4.11673e-05 0.486921 1 0.032219 0.0483541 0.101406 -0.00681321 0.0104397 -2.26178e-06 0.00520921 -0.000164275 0.0232584 0.000312055 0.00209093 -5.45609e-07 0.306848 -4.39117e-05 0.486929 5.75079e-07 0 -5.75079e-07 0.000143655 0 -0.000143655 0.30686 -4.11673e-05 0.486921 1.20539e-05 2.74438e-06 -8.05798e-06 -6.80547e-06 1.3396e-05 1.47527e-06 -0.000387466 -0.00105796 -0.0014204 3.14132 5.78152e-05 0.000203051 3.14134 8.4607e-05 0.000206008 0.0319196 0.0483096 0.101349 -0.00680594 -0.0103734 -6.31337e-07 
0.99999 -0.000186799 6.0013e-05 0 -0.000186815 -0.99999 0.000272999 0 5.99626e-05 -0.000273013 -1 0 0.306861 -4.00992e-05 0.486921 1 -0.00187287 0.00102167 0.138193 0.00164151 0.00507933 -0.000105546 0.0073965 -0.000233196 0.0330244 0.000443083 0.00296891 -7.83664e-07 0.306848 -4.39117e-05 0.486929 7.27688e-07 0 -7.27688e-07 0.000161563 0 -0.000161563 0.306861 -4.00992e-05 0.486921 1.26982e-05 3.81248e-06 -7.93979e-06 -8.47349e-06 1.23242e-05 9.59228e-06 -0.000188802 -0.000206392 -0.00201653 3.14132 5.99632e-05 0.000186817 3.14134 8.4607e-05 0.000206008 -0.00214725 0.000964885 0.138142 0.00165142 -0.00501861 0.000104836 
