O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z error_x error_y error_z error_rx error_ry error_rz vel_x vel_y vel_z bodyRPY_Y bodyRPY_P bodyRPY_R bodyRPY_des_Y bodyRPY_des_P bodyRPY_des_R F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz
0.99999 -0.000136113 9.92732e-06 0 -0.000136115 -0.99999 0.00028733 0 9.88831e-06 -0.000287334 -1 0 0.306982 -1.83637e-05 0.486867 1 -0.00257834 -0.00983203 -0.0304721 0.00130879 -0.00173497 -1.53968e-05 -0.00169146 5.32892e-05 -0.00756347 -0.00010146 -0.000679323 1.94027e-07 0.306987 -1.85442e-05 0.486872 0 0 0 0 0 0 0.306982 -1.83637e-05 0.486867 -5.08515e-06 1.80538e-07 -4.45913e-06 6.14087e-06 1.09022e-05 7.58313e-07 6.33056e-05 0.00018912 0.000461869 3.14131 9.8884e-06 0.000136117 3.14129 3.16927e-05 0.00013764 -0.00282656 -0.00978405 -0.030526 0.00129855 0.00179085 1.59207e-05 
0.99999 -0.000134384 6.88599e-06 0 -0.000134386 -0.99999 0.000285362 0 6.8477e-06 -0.000285366 -1 0 0.306983 -1.92711e-05 0.486866 1 -0.0327412 0.015021 0.0167973 -0.00242749 -0.00591923 -1.54961e-05 0.00102542 -3.23095e-05 0.00458534 6.15094e-05 0.000411831 -1.17e-07 0.306987 -1.85442e-05 0.486872 8.9982e-09 0 -8.9982e-09 1.79946e-05 0 -1.79946e-05 0.306983 -1.92711e-05 0.486866 -4.59195e-06 -7.26851e-07 -6.30095e-06 7.12493e-06 1.24227e-05 1.62246e-06 0.000213644 -0.000176411 -0.000280059 3.14131 6.84777e-06 0.000134388 3.14129 3.16927e-05 0.00013764 -0.033024 0.0150766 0.0167359 -0.00243932 0.00598292 1.72028e-05 
0.99999 -0.000143185 2.39026e-06 0 -0.000143186 -0.99999 0.000287577 0 2.34911e-06 -0.00028758 -1 0 0.306981 -2.00396e-05 0.486864 1 0.103961 0.0118219 0.0984573 -0.00096983 0.0245649 -1.02724e-05 0.00472422 -0.000148859 0.0211252 0.000283393 0.00189734 -5.44482e-07 0.306987 -1.85442e-05 0.486872 3.59856e-08 0 -3.59856e-08 3.59784e-05 0 -3.59784e-05 0.306981 -2.00396e-05 0.486864 -6.31074e-06 -1.49535e-06 -7.68607e-06 6.01788e-06 1.46707e-05 -2.77788e-06 -0.000777092 -0.000149755 -0.00128984 3.14131 2.34913e-06 0.000143187 3.14129 3.16927e-05 0.00013764 0.103628 0.0118703 0.0983864 -0.000980582 -0.0244901 3.15466e-06 
0.99999 -0.00013939 1.44212e-05 0 -0.000139394 -0.99999 0.000287305 0 1.43813e-05 -0.00028731 -1 0 0.306982 -1.9438e-05 0.486867 1 0.145529 0.037878 0.0127947 -0.00611733 0.0299635 0.000102273 -0.000294539 9.28036e-06 -0.00131704 -1.76678e-05 -0.000118293 3.37058e-08 0.306987 -1.85442e-05 0.486872 8.09514e-08 0 -8.09514e-08 5.39514e-05 0 -5.39514e-05 0.306982 -1.9438e-05 0.486867 -5.81498e-06 -8.93787e-07 -4.47612e-06 6.15282e-06 8.65521e-06 -8.80537e-07 -0.000809668 -0.000816129 8.0367e-05 3.14131 1.43814e-05 0.000139396 3.14129 3.16927e-05 0.00013764 0.145331 0.0379253 0.0127511 -0.00612725 -0.0299189 -0.00011103 
0.99999 -0.000130124 1.6002e-05 0 -0.000130129 -0.99999 0.000288456 0 1.59646e-05 -0.000288461 -1 0 0.306982 -1.93429e-05 0.486869 1 -0.0119244 0.0574664 -0.0762928 -0.0102457 -0.00539398 7.3212e-05 -0.00414795 0.000130688 -0.0185474 -0.000248812 -0.0016659 4.76199e-07 0.306987 -1.85442e-05 0.486872 1.43885e-07 0 -1.43885e-07 7.19136e-05 0 -7.19136e-05 0.306982 -1.93429e-05 0.486869 -5.03511e-06 -7.98659e-07 -2.44145e-06 5.57741e-06 7.86492e-06 3.75265e-06 0.000100696 -0.00134002 0.0011326 3.1413 1.59647e-05 0.00013013 3.14129 3.16927e-05 0.00013764 -0.0121039 0.0575093 -0.0763324 -0.0102546 0.00543453 -7.17385e-05 
0.99999 -0.000131631 8.65245e-06 0 -0.000131634 -0.99999 0.000287782 0 8.61465e-06 -0.000287786 -1 0 0.306981 -2.14673e-05 0.486866 1 0.123114 0.113126 -0.012118 -0.0187379 0.0241722 -5.80712e-06 -0.00149606 4.71419e-05 -0.00668979 -8.9744e-05 -0.00060085 1.71997e-07 0.306987 -1.85442e-05 0.486872 2.24775e-07 0 -2.24775e-07 8.9865e-05 0 -8.9865e-05 0.306981 -2.14673e-05 0.486866 -6.53252e-06 -2.92312e-06 -6.34619e-06 5.91483e-06 1.15396e-05 2.99906e-06 -0.000811386 -0.00242967 0.000408287 3.1413 8.61474e-06 0.000131635 3.14129 3.16927e-05 0.00013764 0.122852 0.113172 -0.0121745 -0.0187479 -0.0241131 -1.22087e-06 
0.99999 -0.00014375 8.59372e-06 0 -0.000143753 -0.99999 0.000291941 0 8.55183e-06 -0.000291945 -1 0 0.306981 -2.15503e-05 0.486865 1 -0.0697426 0.191749 -0.0076006 -0.0321467 -0.0134888 0.000217297 -0.000440055 1.38659e-05 -0.00196776 -2.63992e-05 -0.000176735 5.13277e-08 0.306987 -1.85442e-05 0.486872 3.23611e-07 0 -3.23611e-07 0.000107806 0 -0.000107806 0.306981 -2.15503e-05 0.486865 -6.08709e-06 -3.00609e-06 -7.11368e-06 3.83536e-06 1.15693e-05 -3.0607e-06 0.000726348 -0.00366025 0.00011988 3.1413 8.55191e-06 0.000143754 3.14129 3.16927e-05 0.00013764 -0.070005 0.191781 -0.00765592 -0.032154 0.0135477 -0.000213682 
0.99999 -0.000134658 1.68149e-05 0 -0.000134663 -0.99999 0.000293502 0 1.67755e-05 -0.000293507 -1 0 0.306982 -2.01273e-05 0.486865 1 0.00654091 0.0970905 -0.015907 -0.0161204 0.0017484 9.83457e-05 -0.00141582 4.46036e-05 -0.00633102 -8.49343e-05 -0.000568633 1.65343e-07 0.306987 -1.85442e-05 0.486872 4.40383e-07 0 -4.40383e-07 0.000125736 0 -0.000125736 0.306982 -2.01273e-05 0.486865 -5.3762e-06 -1.58306e-06 -6.87055e-06 3.05433e-06 7.45881e-06 1.4854e-06 0.000392508 -0.00201717 0.000386163 3.1413 1.67757e-05 0.000134665 3.14129 3.16927e-05 0.00013764 0.00637156 0.0971151 -0.015943 -0.0161258 -0.00171032 -9.90694e-05 
0.99999 -0.000138836 2.56958e-05 0 -0.000138843 -0.99999 0.000295716 0 2.5655e-05 -0.000295722 -1 0 0.306985 -2.08069e-05 0.486868 1 -0.1676 0.0842832 -0.175487 -0.0157619 -0.0386931 0.000181404 -0.00932231 0.000293688 -0.0416854 -0.000559251 -0.00374413 1.09209e-06 0.306987 -1.85442e-05 0.486872 5.75079e-07 0 -5.75079e-07 0.000143655 0 -0.000143655 0.306985 -2.08069e-05 0.486868 -2.79416e-06 -2.26267e-06 -4.20545e-06 1.94667e-06 3.01849e-06 -6.03315e-07 0.00195332 -0.00171463 0.00254578 3.1413 2.56552e-05 0.000138845 3.14129 3.16927e-05 0.00013764 -0.167668 0.0842982 -0.175502 -0.0157651 0.0387086 -0.000170391 
0.99999 -0.000125267 2.56735e-05 0 -0.000125275 -0.99999 0.000301448 0 2.5636e-05 -0.000301455 -1 0 0.306986 -1.89195e-05 0.486865 1 -0.212273 0.0304161 -0.0710371 -0.00522778 -0.042971 7.71762e-05 -0.00364632 0.000114841 -0.0163053 -0.000218758 -0.0014645 4.35557e-07 0.306987 -1.85442e-05 0.486872 7.27688e-07 0 -7.27688e-07 0.000161563 0 -0.000161563 0.306986 -1.89195e-05 0.486865 -1.22198e-06 -3.75316e-07 -6.7033e-06 -9.19628e-07 3.03001e-06 6.18081e-06 0.00235585 -0.000874523 0.00099505 3.14129 2.56363e-05 0.000125276 3.14129 3.16927e-05 0.00013764 -0.212341 0.0304106 -0.0710503 -0.00522688 0.0429862 -6.41241e-05 
