O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z error_x error_y error_z error_rx error_ry error_rz vel_x vel_y vel_z bodyRPY_Y bodyRPY_P bodyRPY_R bodyRPY_des_Y bodyRPY_des_P bodyRPY_des_R F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz
0.99999 -7.51087e-05 -6.16292e-05 0 -7.50911e-05 -0.99999 0.000285194 0 -6.16512e-05 -0.000285192 -1 0 0.30698 -1.32751e-05 0.486848 1 0.0698606 0.00256093 0.0470015 0.000212663 0.0159552 -5.4153e-05 0.00209996 -6.61069e-05 0.00939214 0.000125965 0.000843361 -2.47943e-07 0.306984 -1.41036e-05 0.486848 0 0 0 0 0 0 0.30698 -1.32751e-05 0.486848 -3.21424e-06 8.28526e-07 -7.86377e-07 3.88916e-06 -1.85045e-07 2.5849e-06 -0.000426587 -0.000107367 -0.000573496 3.14131 -6.16518e-05 7.50919e-05 3.1413 -6.20234e-05 8.02616e-05 0.0698633 0.0025889 0.0469997 0.000207366 -0.0159555 4.9587e-05 
0.99999 -8.04177e-05 -6.09381e-05 0 -8.04005e-05 -0.99999 0.000282234 0 -6.09614e-05 -0.000282231 -1 0 0.306981 -1.46799e-05 0.486848 1 -0.00296283 0.0229341 0.0161223 -0.00382008 5.64326e-05 1.98958e-05 0.000890388 -2.80333e-05 0.00398231 5.34086e-05 0.000357589 -1.04035e-07 0.306984 -1.41036e-05 0.486848 8.9982e-09 0 -8.9982e-09 1.79946e-05 0 -1.79946e-05 0.306981 -1.46799e-05 0.486848 -2.38648e-06 -5.76251e-07 -4.82417e-07 5.36941e-06 -5.30709e-07 -6.96793e-08 3.66103e-05 -0.000289925 -0.000243186 3.14131 -6.0962e-05 8.04012e-05 3.1413 -6.20234e-05 8.02616e-05 -0.00295297 0.0229727 0.016121 -0.00382742 -5.82307e-05 -1.97929e-05 
0.99999 -7.3812e-05 -6.08543e-05 0 -7.37947e-05 -0.99999 0.000285194 0 -6.0876e-05 -0.000285192 -1 0 0.306982 -1.2457e-05 0.486849 1 -0.0187682 0.0537165 -0.0418881 -0.00872823 -0.00518424 -0.000135838 -0.00234631 7.38541e-05 -0.010494 -0.000140739 -0.000942301 2.76923e-07 0.306984 -1.41036e-05 0.486848 3.59856e-08 0 -3.59856e-08 3.59784e-05 0 -3.59784e-05 0.306982 -1.2457e-05 0.486849 -1.90898e-06 1.64662e-06 2.65207e-07 3.88933e-06 -5.72469e-07 3.23326e-06 0.000178873 -0.00156561 0.000640845 3.14131 -6.08766e-05 7.37954e-05 3.1413 -6.20234e-05 8.02616e-05 -0.0187568 0.0537443 -0.0418881 -0.00873345 0.00518198 0.000137861 
0.99999 -7.94802e-05 -6.10856e-05 0 -7.94628e-05 -0.99999 0.000284413 0 -6.11088e-05 -0.000284411 -1 0 0.30698 -1.31862e-05 0.48685 1 0.0703043 0.0822409 -0.151249 -0.0148146 0.0083549 -9.77427e-05 -0.00876874 0.000276023 -0.0392179 -0.000525965 -0.00352158 1.03229e-06 0.306984 -1.41036e-05 0.486848 8.09514e-08 0 -8.09514e-08 5.39514e-05 0 -5.39514e-05 0.30698 -1.31862e-05 0.48685 -3.19297e-06 9.17463e-07 1.31039e-06 4.27986e-06 -4.56895e-07 3.99149e-07 -0.000257114 -0.00204621 0.00239559 3.14131 -6.11094e-05 7.94635e-05 3.1413 -6.20234e-05 8.02616e-05 0.070313 0.0822716 -0.15125 -0.0148204 -0.00835654 9.6194e-05 
0.99999 -7.40374e-05 -5.82146e-05 0 -7.40205e-05 -0.99999 0.000290233 0 -5.82366e-05 -0.000290232 -1 0 0.30698 -1.07905e-05 0.486849 1 -0.110688 -0.141048 -0.117365 0.0239719 -0.0245523 -0.000143611 -0.00664715 0.000209178 -0.0297292 -0.00039872 -0.00266955 7.96935e-07 0.306984 -1.41036e-05 0.486848 1.43885e-07 0 -1.43885e-07 7.19136e-05 0 -7.19136e-05 0.30698 -1.07905e-05 0.486849 -3.11928e-06 3.31312e-06 6.79105e-07 1.36943e-06 -1.89216e-06 3.12074e-06 0.0016366 0.00152349 0.00181575 3.1413 -5.82372e-05 7.40212e-05 3.1413 -6.20234e-05 8.02616e-05 -0.110646 -0.141039 -0.117357 0.0239704 0.024543 0.000149387 
0.99999 -7.98108e-05 -6.05991e-05 0 -7.97935e-05 -0.99999 0.000285027 0 -6.06224e-05 -0.000285025 -1 0 0.306981 -1.26049e-05 0.486848 1 -0.163725 -0.0627476 -0.106717 0.0100828 -0.0355697 -3.75293e-05 -0.0054423 0.000171314 -0.0243409 -0.000326448 -0.00218568 6.4188e-07 0.306984 -1.41036e-05 0.486848 2.24775e-07 0 -2.24775e-07 8.9865e-05 0 -8.9865e-05 0.306981 -1.26049e-05 0.486848 -2.87532e-06 1.49876e-06 -5.82727e-07 3.97293e-06 -7.00105e-07 2.3385e-07 0.00169447 0.000703422 0.00148647 3.14131 -6.0623e-05 7.97943e-05 3.1413 -6.20234e-05 8.02616e-05 -0.163711 -0.0627192 -0.106717 0.0100774 0.0355668 4.69772e-05 
0.99999 -7.96856e-05 -6.832e-05 0 -7.96658e-05 -0.99999 0.000290074 0 -6.83437e-05 -0.000290071 -1 0 0.306981 -1.35434e-05 0.486843 1 -0.204901 -0.00792341 0.0292186 0.00263176 -0.0387816 -0.00011913 0.00218095 -6.86459e-05 0.00975483 0.000130834 0.000875894 -2.62639e-07 0.306984 -1.41036e-05 0.486848 3.23611e-07 0 -3.23611e-07 0.000107806 0 -0.000107806 0.306981 -1.35434e-05 0.486843 -2.49341e-06 5.60212e-07 -5.02828e-06 1.44975e-06 3.16053e-06 2.96578e-07 0.0016415 -0.000503889 -0.000595994 3.1413 -6.83444e-05 7.96666e-05 3.1413 -6.20234e-05 8.02616e-05 -0.204973 -0.00791188 0.0292032 0.00262925 0.0387978 0.000130212 
0.99999 -7.57176e-05 -5.84195e-05 0 -7.57004e-05 -0.99999 0.000295721 0 -5.84425e-05 -0.00029572 -1 0 0.306982 -1.46906e-05 0.486847 1 -0.0814884 0.00446561 -0.0393618 -0.000294449 -0.0168723 -0.000109103 -0.0021507 6.76866e-05 -0.00961924 -0.000129023 -0.000863751 2.62616e-07 0.306984 -1.41036e-05 0.486848 4.40383e-07 0 -4.40383e-07 0.000125736 0 -0.000125736 0.306982 -1.46906e-05 0.486847 -2.00512e-06 -5.86953e-07 -1.78591e-06 -1.37459e-06 -1.78948e-06 2.28077e-06 0.000900219 -0.000681938 0.000587003 3.1413 -5.8443e-05 7.57011e-05 3.1413 -6.20234e-05 8.02616e-05 -0.0814474 0.0044551 -0.0393528 -0.000292213 0.0168631 0.000114186 
0.99999 -7.6736e-05 -6.06525e-05 0 -7.67177e-05 -0.99999 0.000301512 0 -6.06762e-05 -0.000301511 -1 0 0.306984 -1.51258e-05 0.486844 1 -0.115872 -0.00679681 0.0437976 0.00240994 -0.0205224 -7.88141e-05 0.00256145 -8.06003e-05 0.0114568 0.000153678 0.00102873 -3.19066e-07 0.306984 -1.41036e-05 0.486848 5.75079e-07 0 -5.75079e-07 0.000143655 0 -0.000143655 0.306984 -1.51258e-05 0.486844 5.58006e-07 -1.02218e-06 -4.03244e-06 -4.26992e-06 -6.72777e-07 1.77177e-06 0.00101225 -0.000391774 -0.000700152 3.14129 -6.06768e-05 7.67184e-05 3.1413 -6.20234e-05 8.02616e-05 -0.115855 -0.0068278 0.0438036 0.00241599 0.0205183 8.49858e-05 
0.99999 -6.31813e-05 -5.81391e-05 0 -6.31636e-05 -0.99999 0.000304325 0 -5.81589e-05 -0.000304324 -1 0 0.306983 -1.2348e-05 0.486845 1 -0.160835 -0.0591064 0.0770804 0.0117492 -0.0278039 -0.000135281 0.00448456 -0.000141073 0.020058 0.000269048 0.00180108 -5.6301e-07 0.306984 -1.41036e-05 0.486848 7.27688e-07 0 -7.27688e-07 0.000161563 0 -0.000161563 0.306983 -1.2348e-05 0.486845 -9.38516e-07 1.75566e-06 -3.10371e-06 -5.67627e-06 -1.92937e-06 8.54921e-06 0.00144358 0.000488911 -0.00122539 3.14129 -5.81595e-05 6.31642e-05 3.1413 -6.20234e-05 8.02616e-05 -0.160789 -0.059148 0.077093 0.0117576 0.0277933 0.000143405 
