O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z error_x error_y error_z error_rx error_ry error_rz vel_x vel_y vel_z bodyRPY_R bodyRPY_P bodyRPY_Y bodyRPY_des_R bodyRPY_des_P bodyRPY_des_Y F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz
0.99999 -8.43462e-05 -7.13464e-05 0 -8.43249e-05 -0.99999 0.000298471 0 -7.13723e-05 -0.000298468 -1 0 0.306984 -1.39557e-05 0.48685 1 0.0442897 -0.048318 -0.0582137 0.007928 0.00735286 -3.21324e-05 -0.00374782 0.000117958 -0.0167627 -0.000224852 -0.00150515 4.64622e-07 0.306987 -1.33359e-05 0.486853 0 0 0 0 0 0 0.306984 -1.39557e-05 0.48685 -2.74211e-06 -6.1985e-07 -2.84273e-06 1.59223e-06 -3.10545e-07 -5.15381e-06 8.40523e-05 0.000589203 0.00102376 3.14129 -7.1373e-05 8.43257e-05 3.14129 -7.1991e-05 7.40178e-05 0.0443148 -0.0482726 -0.0582124 0.00791898 -0.00735827 2.86224e-05 
0.99999 -8.78933e-05 -7.941e-05 0 -8.78698e-05 -0.99999 0.000295683 0 -7.94367e-05 -0.000295679 -1 0 0.306986 -1.5413e-05 0.486846 1 -0.101084 0.00726869 0.0192275 -0.00111391 -0.0197327 5.13099e-05 0.0016247 -5.11469e-05 0.00726705 9.7479e-05 0.000652492 -2.00373e-07 0.306987 -1.33359e-05 0.486853 8.9982e-09 0 -8.9982e-09 1.79946e-05 0 -1.79946e-05 0.306986 -1.5413e-05 0.486846 -1.39271e-06 -2.07714e-06 -6.22164e-06 2.98655e-06 3.72111e-06 -6.92748e-06 0.000505837 -9.2963e-05 -0.0004438 3.1413 -7.94375e-05 8.78706e-05 3.14129 -7.1991e-05 7.40178e-05 -0.101425 0.00735975 0.0191516 -0.00113339 0.0198093 -4.62917e-05 
0.99999 -8.4859e-05 -7.82547e-05 0 -8.48356e-05 -0.99999 0.000298351 0 -7.82808e-05 -0.000298347 -1 0 0.306982 -1.41087e-05 0.486847 1 0.151485 0.012712 0.0503537 -3.98294e-05 0.032538 -0.000261853 0.00157685 -4.96291e-05 0.00705278 9.46046e-05 0.000633267 -1.9605e-07 0.306987 -1.33359e-05 0.486853 3.59856e-08 0 -3.59856e-08 3.59784e-05 0 -3.59784e-05 0.306982 -1.41087e-05 0.486847 -4.78069e-06 -7.72843e-07 -5.37225e-06 1.65244e-06 3.1436e-06 -5.41021e-06 -0.00107506 -0.00144851 -0.000430734 3.14129 -7.82816e-05 8.48364e-05 3.14129 -7.1991e-05 7.40178e-05 0.151199 0.0127639 0.0502919 -5.14369e-05 -0.0324739 0.000251506 
0.99999 -9.05874e-05 -7.5568e-05 0 -9.05651e-05 -0.99999 0.00029439 0 -7.55954e-05 -0.000294386 -1 0 0.306983 -1.63034e-05 0.486848 1 -0.0106975 0.0700127 0.0442827 -0.010885 -0.000684773 -5.19256e-05 0.00244494 -7.69738e-05 0.0109355 0.000146687 0.000981902 -2.99707e-07 0.306987 -1.33359e-05 0.486853 8.09514e-08 0 -8.09514e-08 5.39514e-05 0 -5.39514e-05 0.306983 -1.63034e-05 0.486848 -3.63725e-06 -2.96752e-06 -4.60313e-06 3.63294e-06 1.80009e-06 -8.27457e-06 -0.000154149 -0.00162673 -0.000667834 3.1413 -7.55962e-05 9.0566e-05 3.14129 -7.1991e-05 7.40178e-05 -0.0108662 0.0701197 0.04424 -0.010907 0.000723066 5.17554e-05 
0.99999 -7.59517e-05 -7.53009e-05 0 -7.59296e-05 -0.99999 0.00029366 0 -7.5324e-05 -0.000293657 -1 0 0.306984 -1.41717e-05 0.486847 1 0.0137524 -0.137991 -8.21006e-05 0.0250347 0.00665391 -0.000304391 -0.00166163 5.23064e-05 -0.00743205 -9.96883e-05 -0.000667322 2.03175e-07 0.306987 -1.33359e-05 0.486853 1.43885e-07 0 -1.43885e-07 7.19136e-05 0 -7.19136e-05 0.306984 -1.41717e-05 0.486847 -3.16261e-06 -8.35818e-07 -5.14268e-06 3.99812e-06 1.66653e-06 -9.56725e-07 0.00151693 0.00159173 0.000453709 3.1413 -7.53247e-05 7.59303e-05 3.14129 -7.1991e-05 7.40178e-05 0.0135957 -0.137874 -0.000123348 0.0250115 -0.00661789 0.000300189 
0.99999 -7.89756e-05 -7.5087e-05 0 -7.89532e-05 -0.99999 0.000298689 0 -7.51113e-05 -0.000298686 -1 0 0.306983 -1.3551e-05 0.486848 1 0.170848 -0.145614 0.0108848 0.0261607 0.0378093 -0.000232365 -0.00164575 5.17958e-05 -0.00736093 -9.87378e-05 -0.000660942 2.04533e-07 0.306987 -1.33359e-05 0.486853 2.24775e-07 0 -2.24775e-07 8.9865e-05 0 -8.9865e-05 0.306983 -1.3551e-05 0.486848 -4.55022e-06 -2.15143e-07 -4.933e-06 1.48327e-06 1.55975e-06 -2.46852e-06 0.000207554 0.00181499 0.000449285 3.14129 -7.5112e-05 7.8954e-05 3.14129 -7.1991e-05 7.40178e-05 0.170705 -0.14557 0.0108523 0.0261513 -0.0377771 0.000218761 
0.99999 -8.02345e-05 -7.28963e-05 0 -8.02127e-05 -0.99999 0.000299089 0 -7.2921e-05 -0.000299086 -1 0 0.306984 -1.68759e-05 0.486846 1 0.0253246 -0.0469901 0.129618 0.0100619 0.0116576 -0.000173343 0.0062345 -0.000196261 0.0278856 0.00037407 0.00250384 -7.75024e-07 0.306987 -1.33359e-05 0.486853 3.23611e-07 0 -3.23611e-07 0.000107806 0 -0.000107806 0.306984 -1.68759e-05 0.486846 -3.31705e-06 -3.54005e-06 -6.76143e-06 1.28345e-06 4.64405e-07 -3.09793e-06 0.000336518 0.000542447 -0.00170281 3.14129 -7.29217e-05 8.02134e-05 3.14129 -7.1991e-05 7.40178e-05 0.0252805 -0.0469525 0.129606 0.0100542 -0.0116476 0.000168673 
0.99999 -8.17567e-05 -7.88999e-05 0 -8.17323e-05 -0.99999 0.000308761 0 -7.89259e-05 -0.000308758 -1 0 0.306984 -1.79534e-05 0.486843 1 0.0167169 -0.0236341 -0.0417054 0.00556978 0.00625804 -9.9954e-05 -0.00426586 0.000134259 -0.0190809 -0.000255985 -0.00171322 5.4837e-07 0.306987 -1.33359e-05 0.486853 4.40383e-07 0 -4.40383e-07 0.000125736 0 -0.000125736 0.306984 -1.79534e-05 0.486843 -2.89406e-06 -4.61755e-06 -9.84726e-06 -3.55264e-06 3.4666e-06 -3.85868e-06 0.00173956 -0.000723219 0.00116489 3.14128 -7.89267e-05 8.17331e-05 3.14129 -7.1991e-05 7.40178e-05 0.0164096 -0.0237318 -0.0417589 0.00558688 -0.0061907 9.75492e-05 
0.99999 -8.00659e-05 -7.35605e-05 0 -8.00429e-05 -0.99999 0.000312677 0 -7.35862e-05 -0.000312674 -1 0 0.306986 -1.67674e-05 0.486844 1 0.035784 -0.0714832 -0.119583 0.0127084 0.00692125 -8.73113e-05 -0.00853537 0.000268565 -0.0381782 -0.000512192 -0.00342794 1.10794e-06 0.306987 -1.33359e-05 0.486853 5.75079e-07 0 -5.75079e-07 0.000143655 0 -0.000143655 0.306986 -1.67674e-05 0.486844 -7.34e-07 -3.43149e-06 -8.49017e-06 -5.51049e-06 7.97037e-07 -3.01315e-06 0.00165457 0.000148298 0.00233151 3.14128 -7.35869e-05 8.00437e-05 3.14129 -7.1991e-05 7.40178e-05 0.0357205 -0.0716409 -0.119583 0.0127381 -0.0069089 8.43251e-05 
0.99999 -8.24938e-05 -7.91114e-05 0 -8.24687e-05 -0.99999 0.000316681 0 -7.91383e-05 -0.000316678 -1 0 0.306987 -1.85317e-05 0.48684 1 0.0083979 -0.0452339 -0.0669262 0.00859061 0.00235138 -0.000102401 -0.0051539 0.00016217 -0.0230542 -0.000309309 -0.00206991 6.78985e-07 0.306987 -1.33359e-05 0.486853 7.27688e-07 0 -7.27688e-07 0.000161563 0 -0.000161563 0.306987 -1.85317e-05 0.48684 2.17357e-07 -5.19588e-06 -1.25431e-05 -7.5125e-06 3.57268e-06 -4.22691e-06 0.00128398 -0.000209748 0.00140731 3.14128 -7.91391e-05 8.24695e-05 3.14129 -7.1991e-05 7.40178e-05 0.00808721 -0.0454456 -0.0669709 0.00862952 -0.00228448 0.000101219 
