O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z pos_x pos_y pos_z bodyRPY_des_R bodyRPY_des_P bodyRPY_des_Y bodyRPY_R bodyRPY_P bodyRPY_Y error_ana_x error_ana_y error_ana_z error_ana_rx error_ana_ry error_ana_rz 
0.99999 -0.000159797 2.61931e-05 0 -0.000131515 -0.707101 0.707099 0 -9.44727e-05 -0.707106 -0.707107 0 0.306966 -0.148861 0.548487 1 0.0012641 -0.0130913 -0.00813102 0.000555595 -0.000328945 5.86243e-05 0.306969 -0.148861 0.548497 0 0 0 0.306966 -0.148861 0.548487 2.3562 -7.09976e-05 0.000162176 2.3562 -9.44736e-05 0.000131516 -3.15295e-06 -2.1028e-07 -1.07635e-05 -4.40143e-07 -2.34759e-05 -3.06605e-05 
0.99999 -0.000172854 2.79912e-05 0 -0.000142019 -0.707101 0.707099 0 -0.000102435 -0.707106 -0.707108 0 0.306964 -0.148863 0.548486 1 0.0447542 -0.00301565 0.0125248 0.00206925 -0.0089087 -2.60557e-05 0.306969 -0.148861 0.548497 5.9988e-09 0 0 0.306964 -0.148863 0.548486 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000102436 0.000142021 -5.5347e-06 -2.13732e-06 -1.15853e-05 4.92698e-08 -3.14379e-05 -2.01556e-05 
0.99999 -0.000168147 1.67482e-05 0 -0.000130741 -0.707103 0.707097 0 -0.000107056 -0.707104 -0.70711 0 0.306964 -0.148864 0.548484 1 -0.0199652 0.0141937 0.0624314 0.006217 0.00251616 0.000168947 0.306969 -0.148861 0.548497 2.39904e-08 0 0 0.306964 -0.148864 0.548484 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000107057 0.000130742 -4.73807e-06 -3.03656e-06 -1.36868e-05 2.58616e-06 -3.6059e-05 -3.1434e-05 
0.99999 -0.000174272 1.71606e-05 0 -0.000135364 -0.707102 0.707098 0 -0.000111095 -0.707105 -0.707109 0 0.306965 -0.148864 0.548482 1 -0.120435 -0.00683692 0.0322531 0.00413137 0.0241719 7.19945e-05 0.306969 -0.148861 0.548497 5.39676e-08 0 0 0.306965 -0.148864 0.548482 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000111097 0.000135365 -4.61775e-06 -2.72063e-06 -1.49857e-05 1.56931e-06 -4.00989e-05 -2.68113e-05 
0.99999 -0.000161107 2.10778e-05 0 -0.000128824 -0.7071 0.7071 0 -9.90169e-05 -0.707107 -0.707107 0 0.306966 -0.14886 0.548484 1 -0.0681738 -0.0854218 -0.0302875 0.00573031 0.0162234 0.000114516 0.306969 -0.148861 0.548497 9.59232e-08 0 0 0.306966 -0.14886 0.548484 2.3562 -7.09976e-05 0.000162176 2.35619 -9.90179e-05 0.000128826 -3.66244e-06 5.34442e-07 -1.33441e-05 -1.71663e-06 -2.80202e-05 -3.33507e-05 
0.99999 -0.000162977 1.60364e-05 0 -0.000126581 -0.707099 0.707101 0 -0.000103904 -0.707108 -0.707105 0 0.306964 -0.148863 0.548484 1 0.0767089 -0.0566204 -0.115939 -0.00798237 -0.010975 5.85483e-05 0.306969 -0.148861 0.548497 1.4985e-07 0 0 0.306964 -0.148863 0.548484 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000103905 0.000126583 -5.23548e-06 -1.7011e-06 -1.29939e-05 -3.22617e-06 -3.29073e-05 -3.55938e-05 
0.99999 -0.00016737 2.79635e-05 0 -0.000138122 -0.707099 0.707101 0 -9.85766e-05 -0.707108 -0.707106 0 0.306965 -0.148863 0.548484 1 0.167445 -0.0420256 -0.105048 -0.00802385 -0.0305708 -0.000212264 0.306969 -0.148861 0.548497 2.15741e-07 0 0 0.306965 -0.148863 0.548484 2.3562 -7.09976e-05 0.000162176 2.35619 -9.85776e-05 0.000138123 -4.52014e-06 -1.79746e-06 -1.34259e-05 -2.71187e-06 -2.758e-05 -2.40533e-05 
0.99999 -0.000167241 1.89973e-05 0 -0.00013169 -0.707097 0.707103 0 -0.000104826 -0.70711 -0.707104 0 0.306966 -0.148863 0.54848 1 0.0906284 -0.0392809 -0.0128847 0.00333943 -0.0174704 -0.000110394 0.306969 -0.148861 0.548497 2.93589e-07 0 0 0.306966 -0.148863 0.54848 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000104827 0.000131691 -2.99054e-06 -1.61911e-06 -1.77907e-05 -5.82915e-06 -3.3829e-05 -3.04853e-05 
0.99999 -0.000166629 2.82912e-05 0 -0.000137829 -0.707097 0.707103 0 -9.78212e-05 -0.70711 -0.707104 0 0.306966 -0.148863 0.548483 1 0.194895 -0.0145645 -0.125046 -0.0134829 -0.0362221 -0.000288203 0.306969 -0.148861 0.548497 3.83386e-07 0 0 0.306966 -0.148863 0.548483 2.3562 -7.09976e-05 0.000162176 2.35619 -9.78221e-05 0.00013783 -3.12753e-06 -2.2365e-06 -1.46597e-05 -5.88531e-06 -2.68245e-05 -2.43461e-05 
0.99999 -0.000151405 1.74607e-05 0 -0.000119405 -0.707091 0.707109 0 -9.47153e-05 -0.707116 -0.707098 0 0.306968 -0.148862 0.548481 1 0.154034 -0.0626108 -0.0229009 0.00538264 -0.0297954 8.90951e-05 0.306969 -0.148861 0.548497 4.85126e-07 0 0 0.306968 -0.148862 0.548481 2.3562 -7.09976e-05 0.000162176 2.35618 -9.47162e-05 0.000119406 -1.69997e-06 -5.05612e-07 -1.58791e-05 -1.39456e-05 -2.37186e-05 -4.27704e-05 
